record_id	paper_id	article_path	article_sha256	article_bytes	xml_path	xml_sha256	xml_bytes	coverage_reason
C50-P032	10.1136/bmjopen-2025-100897	corpus/1850-RA/doi_10.1136_bmjopen-2025-100897.md	f83ed58dfff092519efdabb2f3834c61508af16a0b7b7a77e0ef08e51413eed1	42479	input/projects/1850-RA/papers/doi_10.1136_bmjopen-2025-100897.xml	8a5693ae4af751df9825b0ca1a5a50fefeafd569da1323793ac1c2949d1cd554	74758	planned EQ-TIPS development protocol with DCE and kaizen tasks
R129-P014	10.1007/s11136-019-02115-x	corpus/2014160/doi_10.1007_s11136-019-02115-x.md	04548203cbc5d71bba6264c57524d711ef2883c370edc52006135a39e0eab645	69271	input/projects/2014160/papers/doi_10.1007_s11136-019-02115-x.xml	9c84d2fa7e8ebbb3470837733982f3c1d00dc3ad096c45b40c9c72cedeb3d7db	111972	multicountry multilingual EQ-5D-Y-5L development
R129-P117	10.1371/journal.pone.0197098	corpus/2013240/doi_10.1371_journal.pone.0197098.md	4d4db2458959f4df73e503f80a37a9bff816b1dcfae9d0c980b1606ff34f57b7	142228	input/projects/2013240/papers/doi_10.1371_journal.pone.0197098.xml	c277b98b16b9b5f8919797fb023defd348d3a132c03f7ce4477cbb3b09e6396f	224736	population norms and test-retest reliability
CAL-B12	10.1186/s12955-024-02303-5	corpus/1644-RA/doi_10.1186_s12955-024-02303-5.md	17cfd5eb7a10fab592256e4fda1ca60ea97f7dde4d7d9cdc354435a6cfdf468e	109230	input/projects/1644-RA/papers/doi_10.1186_s12955-024-02303-5.xml	7b1a4470210af144037fe53de7eed19d6b2c62ea61d3c89f06ffe1690396a969	172574	EuroQol-funded validation of a non-EQ instrument
C50-P045	10.1371/journal.pone.0209344	corpus/2016440/doi_10.1371_journal.pone.0209344.md	e3c6d471fd5c00c37cf3bf480e0f7c0d902962d069a59b2e573d3a43a6f9465b	62503	input/projects/2016440/papers/doi_10.1371_journal.pone.0209344.xml	576ccfe6e6a590363456b1ef92ec86601157ee5876d837c8175301d9288532ec	122371	Taiwan value set with cTTO DCE and hybrid models
CAL-B17	10.1371/journal.pone.0305983	corpus/2016440/doi_10.1371_journal.pone.0305983.md	7f409e20c5dc6736c7b2b78fc355d6a8e54a30b8ccceb299a3b5bd8419fad0c9	3148	input/projects/2016440/papers/doi_10.1371_journal.pone.0305983.xml	307213f16749cb651e92e091eabfad32d7aae231e657280f2bf2e705e4c91f73	10486	correction notice for Study-versus-Publication handling
C50-P028	10.1007/s40273-025-01509-9	corpus/1481-PHD/doi_10.1007_s40273-025-01509-9.md	65bc5d505dd76602e7ef66d79eac4d25c762181392e8ac0d7446177fb4c82590	113841	input/projects/1481-PHD/papers/doi_10.1007_s40273-025-01509-9.xml	f37c5f0e585874113a536406297b8e13842c8fb953a0a102a4114fcd4e7d5889	214719	systematic review of caregiver-measure psychometrics
R129-P064	10.1007/s40273-022-01172-4	corpus/20170600/doi_10.1007_s40273-022-01172-4.md	c9264d51f9a9d96f1625217f05572b96dee60905081203f8f5e7cc21248f6c7f	84705	input/projects/20170600/papers/doi_10.1007_s40273-022-01172-4.xml	052b52c2ab9866b7061786a05141c1d17605acfb93fc62972321f0165142cd9d	136217	longitudinal responsiveness with nine value sets
R129-P001	10.1002/hec.4529	corpus/20190080R1/doi_10.1002_hec.4529.md	24e34bf2461ce3ff26ab79718ac248685993a16e57942331dda5fcca6450c417	97490	input/projects/20190080R1/papers/doi_10.1002_hec.4529.xml	ec5d3c6548102af9949816354ec9702e332f373e215702bd15cc0ff3d99402e5	226736	cTTO correction for discounting and loss aversion
R129-P049	10.1007/s40271-022-00572-0	corpus/20180130/doi_10.1007_s40271-022-00572-0.md	16363aec8ce4fc47fc6bec548210daeb93cfedbff813015fa70eee75d1db66c9	58495	input/projects/20180130/papers/doi_10.1007_s40271-022-00572-0.xml	bd609cbad538cb41b521ead5433b1658d736811710c5d6aac7f3cf8987db83af	107329	preference determinants from reused valuation data
CAL-B03	10.1007/s11136-026-04230-y	corpus/1557-RA/doi_10.1007_s11136-026-04230-y.md	fc3cd1d5d1f416d96c470f1e6fc896d0e2611608d2b9ce61e6f558da9d16ef1b	68823	input/projects/1557-RA/papers/doi_10.1007_s11136-026-04230-y.xml	ab6a51b16fd7785ff1e29018cd5e659f8f0aaaa276dab7480be8c88b2b5911fc	177976	proxy recall and perspective think-aloud study
C50-P049	10.3390/curroncol32060308	corpus/1456-PD/doi_10.3390_curroncol32060308.md	b41f30156f7d0c2ff1846461be46a8a612149492a2cd74a9b561c9b49b3f17e5	50596	input/projects/1456-PD/papers/doi_10.3390_curroncol32060308.xml	73e7a8bc1ee59a6bceec30eb7dee743274a9d704dd4db5f5a0ea09841c5325f8	91640	mixed-method routine EQ-5D implementation
R129-P106	10.1186/s12955-023-02207-w	corpus/20190690/doi_10.1186_s12955-023-02207-w.md	6631e86a3d8ebc116dfd697dcd2bf677854c1f796e4a5e63a732ffc1480a89e9	82335	input/projects/20190690/papers/doi_10.1186_s12955-023-02207-w.xml	e33dfe9c55198e6b76f209353725364f024771d6b23a5d7b076a413d47965aa7	138911	routine-service rehabilitation outcomes
R129-P028	10.1007/s11136-025-03925-y	corpus/1644-RA/doi_10.1007_s11136-025-03925-y.md	db60fc6dd29a3a4603323be172f93ab3a6dadfa5d9249e99b8e019d5e49266e4	106684	input/projects/1644-RA/papers/doi_10.1007_s11136-025-03925-y.xml	ef17c80b21ef72b35feb1c2da99f6221380b177f17620f7ac81d60f0c78597f8	195825	financial toxicity HRQoL and well-being outcomes
R129-P110	10.1186/s12955-024-02323-1	corpus/341-RA/doi_10.1186_s12955-024-02323-1.md	0799a7ca241ea73db2689a91cd923cc608fd84703978215f058bca66c700cf9a	106425	input/projects/341-RA/papers/doi_10.1186_s12955-024-02323-1.xml	a08b55a1d4b1657da202fe74078fb8a245ce0657aa6667fbae16a5341363efec	149102	population norms inequality and reused source studies
R129-P129	10.4314/ahs.v23i4.63	corpus/20190670/doi_10.4314_ahs.v23i4.63.md	176cd4158f86738c029652d417fd23da62f2897e225b59b712d3b49fe229af24	69709	input/projects/20190670/papers/doi_10.4314_ahs.v23i4.63.xml	ed35ad6817d6e0526eee5e96cf148bdda30c7960a9ffdc20a62ece6ba1fe2a49	115077	isiXhosa EQ-TIPS translation and psychometrics
R129-P038	10.1007/s11136-026-04242-8	corpus/464-RA/doi_10.1007_s11136-026-04242-8.md	a95441ee959867de73c67af105bd93c343dc4453809d7455737e8f433770316a	82441	input/projects/464-RA/papers/doi_10.1007_s11136-026-04242-8.xml	8b404c35b3123e576ef44f15c4bcecbe05223e105bd71e3cb24e5bfaa38a2bbe	171300	head-to-head instrument measurement properties
R129-P090	10.1177/0272989x18765184	corpus/2015150/doi_10.1177_0272989x18765184.md	612915e78912f9c29ed34e87d88408d0f2582d6d01c9dee112c92fe8c4690b8f	38334	input/projects/2015150/papers/doi_10.1177_0272989x18765184.xml	282bd855497b9d23b9a0f3965f0d22fe6f8923cc26a85e0be344de53fa3728bf	90609	dead-at-zero and QALY scale concepts
R129-P018	10.1007/s11136-020-02718-9	corpus/2016710/doi_10.1007_s11136-020-02718-9.md	421a9be9357f6020c7cdb5b8a40e84634618ef1aa32c23b36bae42cc2dd59006	36139	input/projects/2016710/papers/doi_10.1007_s11136-020-02718-9.xml	baa57fe61e09a2503410644382472f886a8d8f1e84487eef23002a3cf7390a59	56735	conceptual item-selection criteria editorial
R129-P127	10.3390/ijerph19138208	corpus/2014210/doi_10.3390_ijerph19138208.md	5dae42e641feed0fa8449c8f63aaa090f50791ca29d3bf9be2d0b52c964d71b0	65099	input/projects/2014210/papers/doi_10.3390_ijerph19138208.xml	56e8f7ab1ffd8f0b506c020a3acf5ade9ec758b70677fb90e83991ac8a69103c	129386	multicountry caregiver HRQoL and burden
