entity_type	source_label	source_record_ids	decision	proposed_registry_id	canonical_label	parent_registry_id	variant_kind	language_code	jurisdiction	version	source_identifier	scope	aliases	note
Instrument	ASCOT	CNF-P011	ADD_GLOBAL	instrument:ascot	Adult Social Care Outcomes Toolkit							GLOBAL	ASCOT	New stable identity supported by the source.
Instrument	Acceptability Scale	CNF-P006	ADD_GLOBAL	instrument:acceptability-scale	Acceptability Scale							GLOBAL	Acceptability Scale	New stable identity supported by the source.
Instrument	Amharic version of EQ-5D	CNF-P004	ADD_GLOBAL	instrument:eq-5d-5l-am-et	EQ-5D-5L, Amharic, Ethiopia	instrument:eq-5d-5l	LANGUAGE_EDITION	am	ET		10.1186/s12955-024-02305-3	GLOBAL	Amharic version of EQ-5D	New stable identity supported by the source.
Instrument	Arabic version of the EQ-5D-5L	CNF-P008	ADD_GLOBAL	instrument:eq-5d-5l-ar-eg	EQ-5D-5L, Arabic, Egypt	instrument:eq-5d-5l	LANGUAGE_EDITION	ar	EG		10.1136/bmjopen-2021-051727	GLOBAL	Arabic version of the EQ-5D-5L	New stable identity supported by the source.
Instrument	CHU9D	CNF-P009	ADD_GLOBAL	instrument:chu9d	CHU9D							GLOBAL	CHU9D	New stable identity supported by the source.
Instrument	Dutch version of a validated word completion test	CNF-P002	ADD_SOURCE_SCOPED	instrument:cnf-p002-dutch-word-completion-test	Dutch death-thought-accessibility word-completion test		LOCAL_INSTRUMENT				10.1007/s11136-025-04145-0	CNF-P002	Dutch version of a validated word completion test	Source-defined identity; do not merge globally without cross-source evidence.
Instrument	EORTC QLQ-C30	CNF-P004	ADD_GLOBAL	instrument:eortc-qlq-c30	EORTC QLQ-C30							GLOBAL	EORTC QLQ-C30	New stable identity supported by the source.
Instrument	EORTC-QLQ-C30 global health subscale	CNF-P004	ADD_GLOBAL	instrument:eortc-qlq-c30-global-health	EORTC QLQ-C30 global health subscale	instrument:eortc-qlq-c30	SUBSCALE					GLOBAL	EORTC-QLQ-C30 global health subscale	A named subscale is a stable measure; the parent records its instrument family.
Instrument	EQ- 5D- 3L	CNF-P009	ALIAS_EXISTING	instrument:eq-5d-3l	EQ-5D-3L	instrument:eq-5d	LEVEL_VERSION			3L		GLOBAL	EQ- 5D- 3L	Exact semantic alias of the reviewed identity.
Instrument	EQ- 5D-Y- 3L	CNF-P009	ALIAS_EXISTING	instrument:eq-5d-y-3l	EQ-5D-Y-3L	instrument:eq-5d-y	LEVEL_VERSION			3L		GLOBAL	EQ- 5D-Y- 3L	Exact semantic alias of the reviewed identity.
