record_id,project_id,project_link,confidence,project_evidence,title
P25a8a0815f71,2014025,possible,medium,"Project 2014025 plausibly concerns an England EQ-5D-5L value-set study at Sheffield under Ben Van Hout; this article reports a 2015 England pilot using a simplified EQ-5D-5L, but gives no project ID or matching grant.",A new method for valuing health: directly eliciting personal utility functions
Pac1310015ab8,2014025,possible,medium,"Project 2014025 plausibly overlaps in PI Ben van Hout, timing, UK EQ-5D-5L valuation, and Sheffield context, but the article gives neither its ID/title nor a funding statement identifying it.",An exploration of the non‐iterative time trade‐off method to value health states
P13a50c7a151d,2014025,possible,medium,"Project 2014025 is a plausible link because its title is Supplementary funding 5L value set study England: Sheffield and van Hout is an author; this article analyses the English EQ-5D-5L value set, but gives no project identifier or statement linking this comparative paper to the project.",Comparing the UK EQ-5D-3L and English EQ-5D-5L Value Sets
P64c5339b0827,2014025,probable,high,"Candidate 2014025 is titled 'Supplementary funding 5L value set study England: Sheffield'; the article reports the English EQ-5D-5L value-set study, Sheffield ethics approval, and Ben van Hout's involvement, providing a distinctive probable match.",New methods for modelling EQ-5D-5L value sets: An application to English data
P7b8a6079aed9,2014025,probable,medium,"Project 2014025 specifically concerns supplementary funding for an England EQ-5D-5L value-set study at Sheffield; its PI Ben Van Hout is an article author, and its 2014 timing fits the study’s 2012–13 data collection and 2017 publication.",Valuing health-related quality of life: An EQ-5D-5L value set for England
P2a585bd1b140,2014025,possible,medium,"Project 2014025 is plausibly related because it names supplementary funding for an England 5L value-set study at Sheffield under Ben Van Hout, while this article reports an England EQ-5D-5L pilot; it does not name that project or link its funding to it.",A Program of Methodological Research to Arrive at the New International EQ-5D-5L Valuation Protocol
P595e0df3a2cf,2013280,probable,high,"It analyses the Irish EQ-5D-5L national valuation-study data collected with EQ-VT (1,160 respondents), closely matching candidate 2013280's Irish general-population EQ-5D-5L valuation study using cTTO/DCE under Ciaran O'Neill.",An Exploration on Attribute Non-attendance Using Discrete Choice Experiment Data from the Irish EQ-5D-5L National Valuation Study
P695dbe6ca4ca,2013280,probable,high,Candidate 2013280 proposes an Irish EQ-5D-5L valuation study that will examine preference differences by private health insurance; this article uses the Irish 2015/16 EQ-VT valuation sample for precisely that analysis and includes the candidate PI as author.,Do people with private health insurance attach a higher value to health than those without insurance? Results from an EQ-5D-5 L valuation study in Ireland
P0cd61e3fa9f6,2013280,possible,medium,"Project 2013280 plausibly relates because it concerns an Irish EQ-5D-5L EQ-VT valuation study led by O’Neill, and this article analyses the resulting Irish tariff; however, the article reports a separate multi-country MID analysis and does not identify the project.",Estimation of an Instrument-Defined Minimally Important Difference in EQ-5D-5L Index Scores Based on Scoring Algorithms Derived Using the EQ-VT Version 2 Valuation Protocols
P8f639f3647b7,2013280,probable,high,It analyses 2015/16 EQ-5D-5L cTTO data from the Irish value-set study; candidate 2013280 aimed to derive that Irish EQ-5D-5L value set and has Ciaran O'Neill as PI.,Examining the transnational health preferences of a group of Eastern European migrants relative to a European host population using the EQ-5D-5L
P4afbf0a657c1,2013280,probable,high,The article says its data were collected as part of the Irish EQ5D5L valuation study; candidate 2013280 is titled 'An Irish valuation study for the EQ-5D-5L' and specifies the same Irish general-public EQ-5D-5L valuation design.,"Euthanasia, religiosity and the valuation of health states: results from an Irish EQ5D5L valuation study and their implications for anchor values"
P80d13ed3ef16,2013280,probable,high,"The paper says its 2015/16 sample was collected 'alongside the generation of a value set for Ireland' and that its norms were part of a larger study examining Irish health-state preferences. This closely matches project 2013280, the Irish EQ-5D-5L valuation study led by Ciaran O'Neill.",The health of the residents of Ireland: Population norms for Ireland based on the EQ-5D-5L descriptive system – a cross sectional study
P776803e6fb45,2013280,probable,high,"Project 2013280 has the same Irish EQ-5D-5L valuation objective, general-public cTTO/DCE face-to-face design and Irish value-set output; its PI Ciaran O’Neill is the article’s lead author.",Utility Values for Health States in Ireland: A Value Set for the EQ-5D-5L
Pa6c33007eeb2,1578-RA,explicit,high,"The article explicitly gives EQ 1578-RA, and its taxonomy of value-set obsolescence directly matches candidate 1578-RA, ‘Redundancy in HRQoL algorithms: conceptual and empirical challenges.’",A Taxonomy for Assessing Whether HRQoL Value Sets Are Obsolete
P8d488800e756,2013300,possible,medium,"Project 2013300 shares the EQ-5D-5L DCE valuation and time-preference/design focus, but the article does not identify it or its Dutch framing studies; link remains possible.",Optimal DCE design for modelling nonlinear time preferences in EQ-5D-5L valuation studies: exploration of data from Denmark and Peru
P4694bf3b6982,2138-TR,possible,medium,"The article considers mapping/crosswalking EQ-TIPS to EQ-5D-Y, matching candidate 2138-TR’s distinctive aim, but gives no project ID, project-specific funding statement, or evidence that its proposed data collection produced this paper.",Valuing health states for infants and toddlers: challenges and methodological considerations in EQ-TIPS preference elicitation
P2cab3c27ba65,2016740,explicit,high,"The explicit EuroQol funding statement identifies project EQ-2016740, matching candidate 2016740 (‘A Dutch tariff for the Euroqol-5D-Youth’), with the same EQ-5D-Y age-framing valuation design.",An investigation of age dependency in Dutch and Chinese values for EQ-5D-Y.
P407092b97b3c,335-RA,explicit,high,"The article explicitly identifies EQ-Project 335-RA, matching candidate 335-RA, and investigates its stated extensive Egyptian EQ-5D-5L pilot phase.",The Egyptian EQ-5D-5L Extensive Pilot Study: Lessons Learned.
P423aa11928d1,20180280,explicit,high,The article explicitly names EuroQol project 20180280; its Japanese EQ-5D-Y valuation survey and value-set aim match candidate 20180280.,Valuation Survey of EQ-5D-Y Based on the International Common Protocol: Development of a Value Set in Japan
