finding_id,study_id,publication_id,doi,publication_year,primary_research_family,outcome,outcome_family,statement,about_ids,n_values
P00088d2d4963:F1,P00088d2d4963:S1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,MEASUREMENT_PROPERTY_EVALUATION,Descriptive dependency and dominance between EQ-5D+C dimensions,MEASUREMENT_PROPERTY,"Cognition was the least affected dimension at 2.5 months follow-up, while pain/discomfort was the most affected.",P00088d2d4963:IU2 | P00088d2d4963:O2,3
P00088d2d4963:F2,P00088d2d4963:S1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,MEASUREMENT_PROPERTY_EVALUATION,Descriptive dependency and dominance between EQ-5D+C dimensions,MEASUREMENT_PROPERTY,"Extreme cognitive problems combined with no problems on other dimensions were uncommon, whereas extreme problems on other dimensions frequently occurred with no cognitive problems, indicating that cognition is dominant over the other dimensions; the ratio of relative contrast frequencies was below 1.0 for all dimensions.",P00088d2d4963:O2,1
P00088d2d4963:F3,P00088d2d4963:S1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,MEASUREMENT_PROPERTY_EVALUATION,Descriptive dependency and dominance between EQ-5D+C dimensions,MEASUREMENT_PROPERTY,"Correlations between cognition and the other EQ-5D dimensions were low, except with anxiety/depression.",P00088d2d4963:O2,3
P00088d2d4963:F4,P00088d2d4963:S1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,MEASUREMENT_PROPERTY_EVALUATION,Mean EQ VAS score by cognition level,HEALTH_STATUS_OR_EQ_VAS,Mean EQ VAS fell significantly as cognitive problems increased.,P00088d2d4963:O3,3
P00088d2d4963:F5,P00088d2d4963:S1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,MEASUREMENT_PROPERTY_EVALUATION,Explanatory power (R-squared) of EQ-5D-3L dimensions with and without cognition for EQ VAS,MEASUREMENT_PROPERTY,All EQ-5D+C dimension levels were significantly associated with EQ VAS in univariate regression; extreme usual activities problems explained most variance and cognition levels explained comparable amounts to other dimensions.,P00088d2d4963:O1,4
P00088d2d4963:F6,P00088d2d4963:S1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,MEASUREMENT_PROPERTY_EVALUATION,Explanatory power (R-squared) of EQ-5D-3L dimensions with and without cognition for EQ VAS,MEASUREMENT_PROPERTY,"Adding the cognition dimension increased the explanatory power of the multivariate model for EQ VAS by 1.3 percentage points, an increase similar to that of adding any other single EQ-5D dimension to a set of five dimensions.",P00088d2d4963:O1,3
P00088d2d4963:F7,P00088d2d4963:S1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,MEASUREMENT_PROPERTY_EVALUATION,Explanatory power (R-squared) of EQ-5D-3L dimensions with and without cognition for EQ VAS,MEASUREMENT_PROPERTY,"The gain in explanatory power from the cognition dimension was not larger in traumatic brain injury patients than in other injury patients, contrary to the hypothesis.",P00088d2d4963:O1 | P00088d2d4963:SF1,2
P00088d2d4963:F8,P00088d2d4963:S1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,MEASUREMENT_PROPERTY_EVALUATION,,,"Responders differed from non-responders: they were older, more often female, and more often admitted to hospital.",P00088d2d4963:POP1 | P00088d2d4963:SAM3,3
P0018d6033430:FIND1,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,VALUE_SET_DEVELOPMENT,cTTO utility values and rescaled EQ-5D-5L value-set utilities,PREFERENCE_OR_UTILITY,"A large share of cTTO responses classified the hypothetical health state as worse than dead, with additional response clustering at 1, 0, and -1.",P0018d6033430:O1,4
P0018d6033430:FIND2,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,VALUE_SET_DEVELOPMENT,In-sample and out-of-sample predictive accuracy of candidate models,METHOD_PERFORMANCE_OR_DATA_QUALITY,"The constrained 20-parameter linear random-effects model with N45, without heteroscedastic residual error and without left censoring, was selected because it had the lowest out-of-sample RMSE and better in-sample accuracy than the CALE model with N45.",P0018d6033430:O2,4
P0018d6033430:FIND3,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,VALUE_SET_DEVELOPMENT,,,"Adding N45 improved the predictive accuracy of both the linear and CALE models, and the N45 coefficient was statistically significant.",,0
