record_id,title,production_batch,production_outcome,production_code,production_reason,audit_batch,audit_outcome,audit_code,audit_reason,outcome_agreement
Pa7d4b1c07001,What is the Value of Developing an HTA Process?,batch-0017,exclude,E4,[E4] The article evaluates the system-level value of HTA processes rather than a health measure or valuation method.,batch-0001,exclude,E4,"[E4] The article evaluates the system-level value and design of HTA processes, not a health measure or health-state valuation method.",true
Pfb2736b92351,Therapeutic Inertia in an Insured Population with Type 2 Diabetes in the United States: A Retrospective Cohort Study.,batch-0089,exclude,E4,"[E4] This retrospective cohort study describes diabetes treatment inertia, clinical outcomes, and costs rather than measurement research.",batch-0001,exclude,E4,"[E4] The study examines delayed diabetes treatment, cardiovascular outcomes, and costs rather than measurement or valuation.",true
P20b4604aa789,Shared decision-making and disease management in advanced cancer and chronic kidney disease using patient-reported outcome dashboards.,batch-0099,exclude,E1,"[E1] PROMIS health-related quality of life measures are outcomes of a clinical dashboard intervention, not the research object.",batch-0001,retain,RU,"[RU] The co-designed PRO dashboard is the intervention, but the abstract is ambiguous about whether its evaluation is measurement implementation or only clinical impact.",false
Pffe3eca4dc88,Stated-Preference Survey Design and Testing in Health Applications.,batch-0090,exclude,E4,"[E4] This paper provides general guidance for stated-preference surveys of patient preferences, not health-state valuation or health measurement.",batch-0001,retain,RU,"[RU] The paper studies design and testing of stated-preference surveys in health, but the abstract does not specify whether the methods include health-state valuation.",false
P29a6757f6d9a,Activity outcomes after hip arthroplasty: an information tool based on patients’ experience captured in a hospital registry,batch-0036,exclude,E4,"[E4] This registry analysis develops an information tool about activity outcomes after hip arthroplasty, not a health measure.",batch-0001,exclude,E4,[E4] The registry-based information tool classifies post-arthroplasty activity outcomes and does not develop or evaluate a health measurement instrument.,true
Pb5669f9b0e3c,Measuring Patient Preferences to Inform Clinical Trial Design: An Example in Rheumatoid Arthritis.,batch-0072,exclude,E3,[E3] The DCE elicits rheumatoid arthritis patients' treatment risk-benefit preferences to plan a transplant trial.,batch-0001,exclude,E3,[E3] The DCE quantifies patient trade-offs between the benefits and risks of bone marrow transplantation to inform a clinical trial.,true
P9144d0cff881,Organisational interventions in nursing care: A scoping review and descriptive system to support comparison,batch-0015,exclude,E4,"[E4] This scoping review creates a descriptive system for reorganizing nursing care, not health measurement or valuation.",batch-0001,exclude,E4,"[E4] The descriptive system classifies organisational changes in nursing care, not health or wellbeing states or their measurement.",true
P56a0db896a2c,Patient preferences for analgesia in lung surgery: an observational cohort study,batch-0048,exclude,E3,"[E3] Conjoint and trade-off tasks assess preferences for postoperative analgesia options, not a health measurement method.",batch-0001,exclude,E3,[E3] The conjoint and trade-off tasks elicit preferences between analgesic techniques and their treatment attributes.,true
Pf4f842632739,Age-period-cohort analysis of different mental wellbeing measures in Scotland from 2008 to 2021: The U-shaped curve of mental wellbeing over the life course,batch-0087,exclude,E1,[E1] Mental-wellbeing scales are outcomes in an age-period-cohort analysis of population mental health.,batch-0001,exclude,E1,"[E1] Three wellbeing measures are outcomes used to estimate age, period, and cohort patterns rather than objects of measurement evaluation.",true
P2beceff25e7c,The BC SUPPORT Unit: bringing patient-oriented research to bridge research and practice in health care,batch-0037,exclude,E4,[E4] This introductory paper describes a patient-oriented research support unit's mandate and priorities.,batch-0001,exclude,E4,[E4] This introductory article describes a patient-oriented research support unit and does not study health measurement or valuation.,true
Pf0c76e8230a1,Exploring the role of health-related quality of life measures in predictive modelling for oncology: a systematic review.,batch-0086,exclude,E1,[E1] Review examines HRQoL data as predictors or outcomes in oncology prediction models rather than evaluating measures.,batch-0001,exclude,E1,"[E1] The review studies how HRQoL variables are used as predictors or outcomes in oncology models, not the validity of the measures.",true
