record_id,sample_group,title,old_decision,new_decision,old_basis,new_basis,old_projects,new_projects,old_studies,new_studies,old_items,new_items
Pd44d1f7862a2,strong-support,Feasibility of the EQ-5D in the elderly population: a systematic review of the literature.,INCLUDE,INCLUDE,BOTH,BOTH,2015200,2015200,1,1,54,51
P331a66a51c5a,strong-support,How do Design Characteristics Affect Respondent Engagement? Assessing Attribute Non-attendance in Discrete Choice Experiments Valuing the EQ-5D-5L.,INCLUDE,INCLUDE,BOTH,BOTH,2016260,2016260,1,1,66,55
P43731963824d,strong-support,Measuring health-related quality of life in infants and toddlers: conceptual challenges and proposed recommendations,INCLUDE,INCLUDE,BOTH,BOTH,365-RA,365-RA,1,1,36,40
P9cd3ec6c2594,strong-support,Estimating an EQ-5D-Y-3L Value Set for Indonesia by Mapping the DCE onto TTO Values.,INCLUDE,INCLUDE,BOTH,BOTH,20180490,20180490,1,1,81,72
P9b4818f6b5e2,strong-support,Health-related quality of life of adult post COVID-19 condition patients three years after infection and patient characteristics associated with change over time: a longitudinal analysis from the CORFU study.,INCLUDE,INCLUDE,BOTH,BOTH,1569-RA,1569-RA,1,1,63,56
P94878b957eaf,likely-project-output,Examining the face validity of the EQ-HWB-9 in dementia: caregiver interpretation across “Today” and “7-Day” recall periods,INCLUDE,INCLUDE,EXPLICIT_SUPPORT,EXPLICIT_SUPPORT,,,1,1,69,53
P26c157c2cc87,likely-project-output,Choice of hospital: Which type of quality matters?,EXCLUDE,EXCLUDE,NONE,NONE,,,0,0,0,0
P56e05d5f936e,likely-project-output,Health-related quality of life (HRQOL) and its associated factors in children with Type 1 Diabetes Mellitus (T1DM),EXCLUDE,EXCLUDE,NONE,NONE,,,0,0,0,0
Pf53a5ee15eef,likely-project-output,Adaptation of the Experimental Version of EQ-5D-Y-5L Into Bahasa Indonesia,INCLUDE,INCLUDE,BOTH,BOTH,20180140,20180140,1,1,59,71
P42480dcbbafa,likely-project-output,On the Optimization of Bayesian D-Efficient Discrete Choice Experiment Designs for the Estimation of QALY Tariffs That Are Corrected for Nonlinear Time Preferences,INCLUDE,INCLUDE,BOTH,BOTH,20180320,20180320,1,1,54,52
P0d5ba8d5bb2c,negative-control,Evaluation Tools Developed for Rett Syndrome.,EXCLUDE,EXCLUDE,NONE,NONE,,,0,0,0,0
P3113dc9b9673,negative-control,Systematic Review of the Role of Stereotactic Radiotherapy for Bone Metastases,EXCLUDE,EXCLUDE,NONE,NONE,,,0,0,0,0
P3a0c65aeea63,negative-control,Peritoneal dialysis–first initiative in India: a cost-effectiveness analysis,EXCLUDE,EXCLUDE,NONE,NONE,,,0,0,0,0
Pd5c85ad12f19,negative-control,Estimating health state utilities for aromatic L-amino acid decarboxylase deficiency (AADCd) in the United States,EXCLUDE,EXCLUDE,NONE,NONE,,,0,0,0,0
P4f23b7238f3e,negative-control,How the curve morphology differs between curve types in patients with adolescent idiopathic scoliosis during brace treatment?,EXCLUDE,EXCLUDE,NONE,NONE,,,0,0,0,0
P0e37117d0b49,ambiguous,Health related quality of life 5–7 years after minor and severe burn injuries: a multicentre cross-sectional study,EXCLUDE,EXCLUDE,NONE,NONE,,,0,0,0,0
Pac4f1e0ea5c5,ambiguous,Recommendations for Emerging Good Practice and Future Research in Relation to Family and Caregiver Health Spillovers in Health Economic Evaluations: A Report of the SHEER Task Force,INCLUDE,INCLUDE,EXPLICIT_SUPPORT,EXPLICIT_SUPPORT,,,1,1,57,56
Pcf3f881673e1,ambiguous,&lt;p&gt;Patient-Reported Outcome Measures (PROMs) to Support Adherence to Falls Prevention Clinic Recommendations: A Qualitative Study&lt;/p&gt;,EXCLUDE,EXCLUDE,NONE,NONE,,,0,0,0,0
Pdf30fc100f6d,ambiguous,Differing Professional Perspectives on the Interprofessional Collaboration in IPUs: A Mixed-methods Study.,EXCLUDE,EXCLUDE,NONE,NONE,,,0,0,0,0
P958d821a1250,ambiguous,"Caregivers' Perceptions of Clinical Symptoms, Disease Management, and Quality of Life Impact in Cases of Cyclin-Dependent Kinase-Like 5 Deficiency Disorder: Cross-Sectional Online Survey.",EXCLUDE,EXCLUDE,NONE,NONE,,,0,0,0,0
