batch_id,name,openalex_id,decision,reason
batch-01,Aaron Winn,A5066367734,accept,"Aaron N. Winn at UIC has a coherent health-economics and quality-of-life record, including EQ-HWB/EQ-5D-related Value in Health abstracts; this is consistent with the EQ-5D-5L breathing bolt-on project."
batch-01,Abdelghafour MARFAK,A5024805890,accept,"Exact name and a Moroccan health/quality-of-life record, including the EQ-TIPS HRQoL study in Moroccan children, align with the Moroccan EQ-5D-5L value-set project."
batch-01,Abdulmuminu Isah,A5024575926,accept,"Exact name, University of Nigeria affiliation, and a coherent Nigerian pharmacy/public-health record include HRQoL measurement in Africa and health-status research, consistent with the Nigerian youth QALY value-set project."
batch-01,Abdulrasheed Hassan Yusuf,A5138651068,accept,"The exact-name profile consists of the Nigeria EQ-5D-5L valuation study, with project-relevant valuation coauthors; it directly matches the Nigerian EQ-5D-5L value-set project."
batch-01,Abeer Al Rabayah,A5058964513,accept,"Exact name, King Hussein Cancer Center affiliation, and a health-economics/QoL record include the 2024 article 'Valuation of the EQ-5D-3L in Jordan,' directly matching the Jordanian EQ-5D-3L value-set project."
batch-02,Abraham Gebregziabiher,A5061701004,accept,"Mekelle University affiliation matches. Ethiopian EQ-5D valuation and psychometric studies directly support the listed projects, with coherent health-economics and pharmacy work and EuroQol collaborators including Elly Stolk and Clara Mukuria."
batch-02,Ademola Itiola,A5093433205,accept,"The name matches exactly, and both works concern EQ-5D-5L data visualization for total knee arthroplasty. This is a coherent direct match for the listed PhD project on EQ-5D response shift in knee arthroplasty."
batch-02,Agota Szende,A5002095623,accept,"The accented name, extensive health-economics record, and direct EQ-5D population-health publications align strongly with both population norms/inequities projects. The profile includes core EuroQol coauthors Bas Janssen and Juan Manuel Ramos-Goni."
batch-02,Akanksha Akanksha,A5101596594,hold,"The profile is substantially mixed: alongside two relevant EQ-HWB/QALY works, it contains extensive unrelated chemistry, medicinal-plant, engineering, coal, and glaciology publications. This is substantial name-collision contamination and cannot safely identify the EuroQol researcher."
batch-02,Aki Tsuchiya,A5015417862,accept,"Name and University of Sheffield affiliation match. The large, coherent health-economics record directly covers EQ-5D valuation, value sets, QALYs, and inequality preferences, with established EuroQol collaborators including John Brazier, Nancy Devlin, and Clara Mukuria."
batch-03,Alex Bató,A5009546494,accept,"Semmelweis profile is a coherent health-outcomes record: repeated EQ-5D measurement/validation studies, Hungarian SF-36 and PROMIS norms, and QOL research with Rencz and Brodszky directly fit the EQ-HWB projects."
batch-03,Alexander Arons,A5044999875,accept,"The record coherently supports a valuation-methods researcher: health-state valuation, QALY measurement, visual analogue scale recalibration, probabilistic choice models, and EQ-related quality-of-life work. The Krabbe coauthor cluster reinforces this fit."
batch-03,Alexander Geissler,A5089010455,hold,"Although the health-policy/hospital-payment papers could fit PROM dashboards, the profile is substantially mixed: a large neuroimaging/MRI coauthor cluster plus unrelated works from 1959 and 1965–68 are incompatible with one coherent researcher record."
batch-03,Alexander van Heusden,A5070658848,hold,"Recent adapted EQ-5D-Y papers fit the project, but the profile has substantial conflicting material: its dominant cardiac-arrest/cardiogenetics cluster has a separate dense coauthor network, alongside unrelated 1963 and 2007 obstetric works. Safe attribution is not possible."
