record_id	feedback
V2-P001	Make four local corrections; keep all other items unchanged. (1) ProductStateAssertion psa2: the source only reports an author recommendation ('is recommended as the preferred value set for Germany', Key Points for Decision Makers and Conclusions, paragraph 2); it does not report deployment or use in practice. Delete psa2, or if retained, do not use the DEPLOYMENT axis — record it as an author recommendation attached to prod1 with asserted_by 'Study authors' and no deployment claim, so that silence about deployment is not converted into a positive state. (2) Administration adm1: the field recall_period 'Today (EQ-5D-5L self-reported health)' is not stated anywhere in the article (Methods > Valuation Interview, item 2 says only 'self-reported health using EQ-5D-5L and background questions'). Set recall_period to null / NOT_REPORTED. (3) Sample sm7: replace the description 'Interviewers who conducted interviews in the field phase after exclusion of continuously underperforming interviewers' with the source-faithful text 'Interviewers who conducted the 1158 interviews'; the article (Results, paragraph 1) states only that 19 interviewers conducted the interviews and never links this number to the exclusion rule described in Methods > Data Collection and Quality Control Process. (4) Limitation lm3: 'health states could only be flagged but not re-valued' is a neutral protocol description in Methods > Valuation Interview and Methods of Eliciting Preferences, not a limitation stated by the authors. Remove lm3 (its content is already properly held in TaskDesign td1 / MethodUse mu8), since only source-reported limitations may be extracted.
V2-P002	1) Add a third ranked Purpose to Study s1: value HEALTH_STATE_VALUATION, rank 3, source ['Methods/Choice Experiment, paragraph 1', 'Methods/Choice Experiment, survey structure paragraph', 'Results/Health State Valuation']. Rationale: direct preference elicitation is performed in the current study (21 paired EQ-5D-5L choice tasks per respondent) and yields reported utility decrements and RAI scores in Tables 2-3 and Fig. 2; the controlled value's definition is satisfied. Keep METHOD_OR_PROTOCOL_QUALITY at rank 1 and VALUATION_METHOD_EVALUATION at rank 2 unchanged. 2) Split Administration adm1, whose perspective field ('Own preference for the health state they would prefer to experience') does not describe the self-reported EQ-5D-5L assessment. Keep adm1 with applies_to ['iu1','iu2','mu1','td1'] and all current field values, and create a new Administration adm2 with study_id 's1', part_id null, applies_to ['iu3'], respondent 'Adult general population panel member', perspective 'Self-report of own current health', completion 'Self-completed', channel 'Online survey via an online panel', setting 'Online panel survey administered by Pureprofile', time_point 'Completed before the DCE instructions and the 21 DCE choice tasks within the single survey session', other fields null, source ['Methods/Choice Experiment, survey structure paragraph', 'Results/Respondent Characteristics']. Make no other changes; all other filter decisions, the Study unit, primary family METHODS_RESEARCH, design axes, sample stages and counts, instrument/method/model/software uses, findings and their aggregate values, interpretations, limitations, concepts, and gap g1 are source-accurate as recorded.
V2-P003	1) Add a second ranked Purpose to Study s1: value HEALTH_STATE_VALUATION, rank 2, sources 'Materials and methods: Preference elicitation survey (steps 3–7: dimension ranking, swing weighting, level rating, pairwise comparison with dead, anchoring)' and 'Methods: Data analysis – Estimating the utility decrements'. Direct preference elicitation was performed in the current study (OPUF survey administered twice to 220 respondents), which the record currently represents only through mu1/td1–td5; keep VALUATION_METHOD_EVALUATION as rank 1. 2) Add a SourceConflict item for Study s1 covering the SD3 paired t-test: statement A = Results, 'Utility decrements and value set': 'The t-statistic was not statistically significant for SD3 in the GP sample, indicating differences in means'; statement B = Table 6, GP sample row SD3: 't = 2.23 (0.03)*', flagged as statistically significant (p < 0.05). Record both locators verbatim and do not silently harmonise; note that Finding f9 follows Table 6 (SD3 GP significant). No other change: keep primary_research_family METHODS_RESEARCH (the object of reliability assessment is the OPUF valuation approach, matching row 10 'reliability ... of an approach or method'), keep the inclusion decision, explicit EuroQol support, ORIGINAL_RESEARCH_ARTICLE form, the single Study with no parts, and all existing samples, uses, findings and limitations, which match the source values checked against Tables 1–6.
V2-P004	The record is materially correct: include-study with explicit EuroQol support (EQ Project 429-RA), ORIGINAL_RESEARCH_ARTICLE, one Study with primary_research_family INSTRUMENT_VERSION_DEVELOPMENT, the five data-source StudyParts, pooled and part-level samples, instrument/method/model/software uses, principal findings, the QID-12 product, and both the alpha and Martin-Loef source conflicts are all supported by the article. Apply only these local corrections: (1) Add a third SourceConflict for the independent-walking figure: Results paragraph 2 states that 'cerebral palsy and intellectual disability (32.0%)' could walk independently, whereas Table 1 reports CP 66 (36.7%) and gives 32.0% for CDD (24). Record both statements verbatim with locators 'Results, paragraph 2' and 'Table 1'; do not reconcile them silently. (2) Make Population pop1 and pop3 geographies source-faithful: the article never states a country for the QI-Disability determinants dataset or the EQ-5D-Y-5L evaluation dataset. Replace 'Australia' in both with the source basis (e.g. 'Country not stated for this dataset; The Kids Research Institute Australia datasets — Results paragraph 1 reports 539 participants from Oceania, majority Australia, across all non-Simons datasets') or leave the field empty with a NOT_REPORTED gap. (3) In Finding f8 the 'about' array mixes an Outcome id (o5) with a Population id (popall); remove 'popall' and let the population link run through the Sample/Population records so the finding-to-outcome role stays clean. Apply the same treatment to f9 (keep o5; drop 'sf1' unless the record explicitly allows StudyFactor targets in 'about'). (4) StudyFactor sf1 merges two distinct stratifiers ('data source' and 'diagnostic group'); either split into two STRATIFIER factors ('Data source: Simons Searchlight / The Kids / Inchstone DEE Parents Speak' and 'Diagnostic group: Autism, CDD, CP, Down syndrome, Rett syndrome, Other') or restate the label as 'Data source / diagnostic cohort (Table 1 columns)' so levels match the exact table columns. No change is required to the Study unit, primary family, purposes, parts, principal results, product, or gap g1 (UNCERTAIN_MAPPING on the Genetic Algorithm method function with QUANTITATIVE_ANALYSIS retained as the applied value is an acceptable flag).
V2-P005	"1) Add a SourceConflict item (study_id s1, no part) for the staff job-description counts: statement A = ""20 aged care staff (nine personal care workers, five lifestyle coordinators, four nurses, one manager, one customer service officer)"" with locator ""Results, first paragraph""; statement B = ""Personal care worker 8 (40%); Lifestyle coordinator 6 (30%); Nurse 4 (20%); Manager 1 (5%); Other 1 (5%)"" with locator ""Results, Table 1"". Note that both sum to 20 and that the discrepancy concerns the personal-care-worker/lifestyle-coordinator split only; do not reconcile the numbers. Link the conflict to sam3 and leave sam3.size_text unchanged but add the Table 1 alternative to sam3.description. 2) Change Design d3 (axis comparison_structure) from NONCOMPARATIVE to BETWEEN_GROUP, keeping study-level scope, and cite ""Methods > Procedure"" (deliberate recruitment to capture views of both carers and aged care staff), ""Results, Theme 1 > Choice of Proxy Type (Family vs Staff)"" and ""Results, Theme 1 > Feasibility/Ability to Proxy Report""; this aligns d3 with StudyFactor sf1 (Proxy type, family vs aged care staff) and findings f4 and f5, which report contrasts between the two proxy groups. If BETWEEN_GROUP is judged too strong for a thematic analysis, retain NONCOMPARATIVE only together with an UNCERTAIN_MAPPING Gap on d3 recording the family-versus-staff contrast. 3) Optional, low priority: record a second SourceConflict for interviewer identity — ""one of the two interviewers (LE or EK)"" (Methods > Procedure) versus ""data collection were performed by LE and EB"" (Declarations > Author contributions). No other change; do not alter the Study, family, purposes, instrument roles, findings, interpretations, limitations, concepts, or the existing gaps g1–g3."
V2-P006	1) In Finding f12, delete the aggregate value object with reported_value '55.1' and unit '% (complement of 44.9% reporting profile 11111)'; this figure is computed by the extractor and is not reported in the article. Either leave f12 with no values (statement only: 'More than half of all respondents in this general adolescent population reported problems in at least one EQ-5D-Y-3L dimension.'), or replace it with the source-reported value: reported_value '44.9', unit '%', denominator '6574', subgroup 'Health profile 11111 (no problems in any dimension)', comparator 'Earlier observations in children', direction 'more problems reported than observed earlier', uncertainty null. Keep the existing source locators 'Discussion, paragraph 3' and 'Results: Health profiles'. 2) Add one new Finding (id f13, study_id 's1', part_id null) with statement: 'There was a gradient in reported problems in the EQ-5D-Y-3L dimensions from very good to very bad self-rated health, and respondents answering very bad self-rated health reported the lowest mean VAS score.'; about: ['o1','o2','sf9','iu2']; values: [] (no numeric values are given in the article body; the data appear only in Online Appendix Figs. 1 and 2); source: ['Results: EQ-5D-Y-3L by self-rated health', 'Online Appendix Fig. 1', 'Online Appendix Fig. 2']. Make no other changes; all other assessment fields, the Study unit, primary family, purposes, design axes, samples, instrument/method/model/software uses, administrations, factors, outcomes, interpretations, limitation, concepts, and the DataUse gap are confirmed correct.
V2-P007	1) Design d3 (comparison_structure): replace NONCOMPARATIVE with BETWEEN_INSTRUMENT. The review grades and contrasts the measurement properties of EQ-5D, EQ-VAS, SF-6D, HUI and QWB against each other and concludes that 'EQ-5D [is] the preferred choice when a generic PBM is needed' (Discussion, first paragraph; Conclusions; Tables 2–5). Keep the existing locators and add 'Discussion, first paragraph' and 'Conclusions'. 2) MethodUse mu6 (ICD-11): the field 'function' currently holds the gap state 'UNCERTAIN_MAPPING'. Set function to EVIDENCE_SYNTHESIS, because ICD-11 is used only to define the disease groups within which relevant studies are combined and graded (Methods: Assessment of the Preference-Based Measures (PBMs)). If the extractor prefers to keep a gap state in the field, use UNMAPPED_VALUE (a controlled key exists but no listed value fits), not UNCERTAIN_MAPPING. 3) Gap g1: update 'state' to match the corrected mapping (drop the gap entirely if mu6.function is set to EVIDENCE_SYNTHESIS; otherwise change state from UNCERTAIN_MAPPING to UNMAPPED_VALUE) and delete the 'proposed_resolution' text proposing a new classification-system function, since a disease-coding standard used for grouping in one paper is a one-paper distinction and must not drive a new controlled value. 4) Finding f6: add the reported EQ-VAS test-retest reliability result that is currently omitted — 'sufficient' in 4 of 6 countries/districts and 3 of 5 disease groups assessed (Results, fifth paragraph; Table 3) — as an additional value entry with subgroup 'Test-retest reliability', denominator 'populations assessed'. No other changes; inclusion, EuroQol support (explicit, Funding statement), publication form REVIEW_ARTICLE, the single Study unit, primary family EVIDENCE_SYNTHESIS, samples (1710 IDENTIFIED_RECORDS, 735 SCREENED, 114 FULL_TEXT_ASSESSED, 79 and 1504 INCLUDED_EVIDENCE), instrument and protocol roles, findings f1–f5 and f7–f10, interpretations, and the three source-reported limitations are all verified as accurate.
V2-P008	1) Sample `sam1` (stage PLANNED_TARGET, size 200): the source reports only a power-based sample-size calculation ('calculated to provide 80% power, at the two-sided significance level of 0.05'), and the controlled definition of PLANNED_TARGET states that 'a power minimum alone is insufficient'. Delete `sam1` from the record; do not substitute another sample stage. If the calculation must be retained, keep it only as descriptive text on the sampling MethodUse `mu1` (source: Methods > Participants, recruitment and procedure), not as a Sample item. 2) InstrumentUse `iu5`: the record assigns instrument_function COMPARATOR to the EQ-5D-Y-3L, but the source states the opposite direction of roles — 'The EQ-5D-Y-5L acted as the comparator instrument and the EQ-5D-Y-3L as the referent'. Add a new InstrumentUse for 'EQ-5D-Y-5L Chichewa version' with context DIRECT_CURRENT_ACTIVITY, function COMPARATOR, source 'Methods > Utility score performance (empirical validity)', and edit the `iu5` source_label/annotation to state explicitly that the EQ-5D-Y-3L served as the reference (referent) instrument in the relative-efficiency comparison, keeping function COMPARATOR because no separate reference-instrument value exists. Link the new use into Outcome `o7` (instrument_use_ids) alongside `iu1`, `iu2`, `iu11`. No other change: the filter decision (include-study, direct_eq, explicit EuroQol support, ORIGINAL_RESEARCH_ARTICLE), the single Study unit, primary family MEASUREMENT_PROPERTY_EVALUATION, design axes, populations, samples sam2–sam7, data uses, methods, software, scoring uses, administrations, outcomes, findings f1–f12, interpretations, limitations, concepts, the two SourceConflicts and Gap g1 are all source-accurate.
V2-P009	"1) Administration ad3 links to a Population (applies_to: [""pop3""]); an Administration must attach to an instrument, method, protocol, software or task use. Repair: add an InstrumentUse in part2 for the outpatient transport-cost questionnaire completed by the 450 outpatients attending eye clinics in the five regional hospital ophthalmology departments (source: Table 1 > Non-medical direct costs > Travel for eye care; context SOURCE_STUDY_ACTIVITY, function OUTCOME_MEASURE, registry_id empty), and set ad3.applies_to to that new InstrumentUse id in place of ""pop3"". 2) StudyFactor sf1 (category of presenting vision) is given only role STRATIFIER, but vision category is also an analysed determinant in the multivariable models of eye care utilisation and insurance (""those with near VI (OR 0.49, 95% CI 0.39–0.61), or blindness (OR 0.11, 95% CI 0.01–0.85), were significantly less likely to report utilising any eye care""; ""Health insurance coverage also varied significantly by vision level ... p<0.001"", Results > Eye care access by vision level). Repair: add a second StudyFactor for ""category of presenting vision in the better-seeing eye"" with the same levels, part_id part1, role EXPOSURE_OR_DETERMINANT, sourced to Results > Eye care access by vision level and Supplementary Table 20; keep sf1 as the STRATIFIER used for cost and employment stratification. 3) Gap g1 is over-flagged. The population-level application of disability weights is already representable by du7 (PUBLISHED_MODEL_INPUT / MODEL_PARAMETER), mu7 (MAPPING_OR_DERIVATION) and the ProductUse records, and it is a single-paper distinction. Repair: delete g1, or retain it only as an UNCERTAIN_MAPPING note without proposing an extension of ScoringUse. 4) Consistency fix for the weight sets: the base-case WHO weights (0.047 near VI, 0.005 mild, 0.089 moderate, 0.314 severe, 0.338 blindness; Methods > Definition and estimation of intangible effects) appear only inside du7, while the two sensitivity alternatives are recorded as ProductUse comparators prd1/prd2. Either name the WHO base-case set as the comparison reference inside prd1/prd2, or record the base-case set with the same granularity so the three weight sets carry symmetric roles. No change is needed to the include decision, explicit EuroQol support, ORIGINAL_RESEARCH_ARTICLE form, single Study unit, ECONOMIC_BURDEN_RESEARCH family, part structure, principal cost findings (all checked against Abstract, Results and Table 2), or the ten reported limitations."
V2-P010	"Two local fixes only; do not change the filter decision, the single Study, the APPLIED_USE_RESEARCH family, the purposes, or any reported value. (1) In Gap g2, correct the target typing: the withheld result is about Outcome o1 (comprehension/usefulness feedback on the EQ-5D-5L descriptive labels), so set affected_type to ""Outcome"" (keeping affected_item_id ""o1""), or, if the intended object was the absent result rather than the outcome, set affected_item_id to ""s1"" with affected_type ""Study""; keep state NOT_REPORTED and the verbatim evidence quote from Results, paragraph 1. (2) MethodUse mu2 (""Sankey Diagram"", part2) carries function ""UNMAPPED_VALUE"" but no Gap references it: either add mu2 to the coverage of Gap g1 by creating a second Gap record with state UNMAPPED_VALUE, affected_item_id ""mu2"", affected_type ""MethodUse"", affected_key ""method_function"", evidence ""For 1-year post-surgery data (Part 2), we chose the Sankey Diagram to demonstrate changes over time"" (Methods, paragraph 1; Table 1, Part two), and source [""Methods, paragraph 1"", ""Table 1"", ""Discussion, paragraph 2""], or explicitly extend g1's affected item list to include mu2 so that every gap-state function value has a governing Gap."
