inspection_scope,name,openalex_id,decision,reason,chosen_name,orcid,affiliation,member_affiliation,total_works,project_ids
random_accepted,Abraham Gebregziabiher,A5061701004,accept,"Mekelle University affiliation matches. Ethiopian EQ-5D valuation and psychometric studies directly support the listed projects, with coherent health-economics and pharmacy work and EuroQol collaborators including Elly Stolk and Clara Mukuria.",Abraham Gebregziabiher Welie,0000-0003-4661-7287,Mekelle University,"1School of Pharmacy, College of Health Science, Mekelle University.",6,133-RA;1798-RA;20170480;20180500;20191010;2124-RA;225-RA;313-PHD;340-RA;89-RA
all_held,Akanksha Akanksha,A5101596594,hold,"The profile is substantially mixed: alongside two relevant EQ-HWB/QALY works, it contains extensive unrelated chemistry, medicinal-plant, engineering, coal, and glaciology publications. This is substantial name-collision contamination and cannot safely identify the EuroQol researcher.",Akanksha Akanksha,,University of Technology Sydney,,135,1799-RA;2511-RA
all_held,Alexander Geissler,A5089010455,hold,"Although the health-policy/hospital-payment papers could fit PROM dashboards, the profile is substantially mixed: a large neuroimaging/MRI coauthor cluster plus unrelated works from 1959 and 1965–68 are incompatible with one coherent researcher record.",Alexander Geißler,0000-0002-7445-2929,University of St.Gallen,,232,301-SG
all_held,Alexander van Heusden,A5070658848,hold,"Recent adapted EQ-5D-Y papers fit the project, but the profile has substantial conflicting material: its dominant cardiac-arrest/cardiogenetics cluster has a separate dense coauthor network, alongside unrelated 1963 and 2007 obstetric works. Safe attribution is not possible.",Alexander van Heusden,0009-0007-8055-5450,Murdoch Children's Research Institute,,37,1739-EO
all_held,Alice Yu,A5055148154,hold,"This is a Chang Gung University molecular-oncology profile dominated by neuroblastoma, anti-GD2 immunotherapy, glycosylation, and leukemia research. It is incompatible with the CHERE member's EQ-5D valuation, DCE, and EQ-HWB project record.",Alice L. Yu,0000-0003-2444-0505,Chang Gung University,Centre for Health Economics and Research Evaluation (CHERE),492,1888-RA;1890-RA;20180150;2335-RA;2584-RA
random_accepted,Andrew Lloyd,A5031114648,accept,"A large, coherent health-utility and EQ-5D portfolio—including EQ-5D-5L development, interim scoring, EQ-5D cancer utilities, and ISPOR utility-method reports—matches the Acaster Lloyd affiliation and all three EuroQol projects.",Andrew Lloyd,0000-0002-7597-6556,Lloyd's,Acaster Lloyd,235,1475-RA;1806-RA;20190510
all_held,Antony Martin,A5070568819,hold,"Although the profile includes health-economics and haemophilia work, it shows substantial apparent name-collision contamination: a 1975 Zambia book, a 2007 network-mobility authentication paper, tomato heat-tolerance research, and nanoparticle imaging papers. The mixed record is unsafe to attribute.",Antony P. Martin,0000-0003-4383-6038,,,125,319-RA
random_accepted,Arthur Attema,A5082166488,accept,"Profile is Arthur E. Attema at Erasmus University Rotterdam with a highly coherent EQ-5D valuation, TTO, time-preference, and behavioural health-economics record. It includes the supplied projects' topics and matching 2025 papers on episodic future thinking and perspective/duration/death in valuation.",Arthur E. Attema,0000-0003-3607-6579,Erasmus University Rotterdam,,119,1602-RA;236-RA;237-RA;435-RA
largest_accepted,Asrul Shafie,A5089160643,accept,"Name is consistent with Asrul Akmal Shafie at Universiti Sains Malaysia. The record is coherently health economics, pharmaceutical policy and patient outcomes, including Malaysia-focused work, and fits the Malaysian EQ-5D-5L valuation and workshop projects.",Asrul Akmal Shafie,0000-0002-5629-9270,Universiti Sains Malaysia,,416,2016100;2016190;20190290
all_held,Ataru Igarashi,A5071771037,hold,"Although the name, University of Tokyo affiliation, and Japanese EQ-5D value-set work fit, the profile includes clearly discordant 1969 respiratory anthropology, 1981 dental folklore, and 1984-85 gynecology infection records. This substantial cross-era, cross-field contamination makes safe attribution uncertain.",Ataru Igarashi,0000-0001-6307-6916,University of Tokyo Health Sciences,The University of Tokyo,371,
