review_scope,name,chosen_id,chosen_name,orcid,affiliation,member_affiliation,qa_decision,qa_reason,additional_profile_ids_held,alternatives,project_ids
primary_original,Jeffrey Johnson,A5067514299,Jeffrey Johnson,0000-0001-8290-2857,Dakota State University,University of Alberta,not_assessed,,,A5068867603=Jeffrey L. Johnson(1 eq); A5056814298=Jeffrey G. Johnson(2 eq); A5016249965=Jeffrey D. Johnson(4 eq),1871-RA;1989-SG;2016500;2016520;20170610;20180170R1;20190690;20190810;216-RA;2257-RA;2553-RA;367-RA;445-RA
primary_original,Richard Xu,A5057171540,Richard Huan Xu,0000-0002-4720-5172,Hong Kong Polytechnic University,The Hong Kong Polytechnic University,not_assessed,,,A5101613292=Rui‐Hua Xu(12 eq),1495-RA;1549-RA;1804-RA;1897-RA;2181-RA;2183-RA;2184-RA;2351-BT;2375-RA;2409-RA;444-RA;85-RA
primary_original,Samar Farid,A5091305227,Samar Farid,0000-0002-6048-847X,Cairo University,,not_assessed,,,A5003458011=Samar M. Farid(1 eq); A5001251189=Samar Farid(5 eq); A5137593163=Samar Farid(2 eq); A5140654507=Samar F. Farid(1 eq),1492-RA;1594-RA;20180130;2063-RA;2145-RA;2341-RA;2402-BT;2492-RA;2522-EO;335-RA;338-EO
primary_original,pei wang,A5100462615,Pei Wang,0000-0001-7787-6498,Southwest University,,not_assessed,,,A5051368106=Pei Wang(3 eq),1863-RA;20170530;2454-RA;401-RA
primary_original,Clement Cheuk Wai Ng,A5102680222,Clement Cheuk Wai Ng,,Chinese University of Hong Kong,,not_assessed,,,A5001642847=Charis Wei Ling Ng(2 eq); A5079557144=Clement Cheuk-Wai Ng(1 eq),1691-RA;1703-RA;211-RA
primary_original,Jonathan Nazari,A5076426425,Jonathan Nazari,0000-0002-4758-7588,Pfizer (United States),,not_assessed,,,A5083342500=Jonathan L. Nazari(2 eq); A5120416926=Jonathan Nazari(1 eq); A5058527781=J Nazari(2 eq); A5137981527=Jonathan L. Nazari(1 eq),2264-EO;2414-RA;2583-EO
primary_original,Paul Schneider,A5086411644,Paul M. Schneider,0000-0003-2776-4441,The University of Melbourne,,not_assessed,,,A5009816526=Bryan P. Schneider(2 eq); A5028665038=Paul Schneider(1 eq),1508-RA;1596-RA;2582-SG
primary_original,yaling Yang,A5008455417,Yaling Yang,0000-0002-9529-1685,Shanghai Public Health Clinical Center,Oxford University,not_assessed,,,A5000074603=Yi Yang(2 eq),1807-RA;2130-PHD;2172-RA
primary_original,Jarinne Woudstra-de Jong,,,,,,not_assessed,,,,2289-BT;2326-RA
primary_original,Maresa Buchholz,A5061680498,Maresa Buchholz,0000-0002-4486-8632,Universitätsmedizin Greifswald,,not_assessed,,,A5126533651=Maresa Buchholz(8 eq); A5121100821=Maresa Buchholz(1 eq); A5125998044=Maresa Buchholz(1 eq); A5134006794=Maresa Buchholz(1 eq),1582-RA;2057-TVG
primary_original,Wojciech Trzebiński,,,,,,not_assessed,,,,1698-RA;2343-RA
primary_original,Abdulhamid Musa,,,,,,not_assessed,,,,20210010
primary_original,Afewerki Gebremeskel,,,,,,not_assessed,,,,396-RA
primary_original,Ahmed Hamdan AlJedai,,,,,,not_assessed,,,,1666-VS
primary_original,Aysenur Ahsen,,,,,,not_assessed,,,,2206-RA
primary_original,Bosiljka Djikanovic,,,,,,not_assessed,,,,2128-VS
primary_original,Carrie-Anne Ng,A5035818265,Carrie‐Anne Ng,0000-0001-9326-8492,University of Technology Sydney,,not_assessed,,,A5135197841=Carrie-Anne Ng(2 eq),2157-RA
primary_original,Chris Flood,,,,,,not_assessed,,,,2005-SG
primary_original,Cristina Guttierez,,,,,,not_assessed,,,,20180290
primary_original,Daliya Kaskirbayeva,,,,,,not_assessed,,,,2013-RA
primary_original,Edwine Barasa,,,,,,not_assessed,,,,2233-VS
primary_original,Elizabeth Tompkins,,,,,,not_assessed,,,,1572-RA
primary_original,Emma Pleeging,,,,,,not_assessed,,,,2186-RA
primary_original,Esther de Bekker-Grob,A5007711014,Esther W. de Bekker‐Grob,0000-0001-7645-6168,Erasmus University Rotterdam,,not_assessed,,,,2095-EO
primary_original,Felix Masiye,,,,,,not_assessed,,,,2238-VS
primary_original,Frank De Charro,A5080909830,Frank de Charro,0000-0002-5280-5551,,,not_assessed,,,A5111927574=Frank T. de Charro(1 eq),2013080
primary_original,Gordon Liu,A5074307362,Gordon G. Liu,0000-0002-4339-2644,Peking University,,not_assessed,,,A5064540278=Gordon Liu(4 eq),2012010
primary_original,Hajer Falfel,,,,,,not_assessed,,,,20190040
primary_original,Hoang Van Mi,,,,,,not_assessed,,,,20170220
primary_original,Julia Fox-Rushby,,,,,,not_assessed,,,,2109-RA
primary_original,Lyazzat Kosherbayeva,,,,,,not_assessed,,,,2232-VS
primary_original,Meles Tekie,,,,,,not_assessed,,,,223-RA
primary_original,Merhawit Gerezgiher,,,,,,not_assessed,,,,1490-RA
primary_original,Nadine Zawadzkli,,,,,,not_assessed,,,,140-RA
primary_original,Nicholas Smeele,,,,,,not_assessed,,,,2320-TR
primary_original,Norma Bulamu,,,,,,not_assessed,,,,2205-RA
primary_original,Priyanka Banik,,,,,,not_assessed,,,,2530-RA
primary_original,Raf Van Gestel,,,,,,not_assessed,,,,1672-SG
primary_original,Rini Noviyani,,,,,,not_assessed,,,,2598-RA
primary_original,Sandjar Djalalov,,,,,,not_assessed,,,,59-VS
primary_original,Sesil Lim,,,,,,not_assessed,,,,20180420
primary_original,Sofia Vallejo,,,,,,not_assessed,,,,2517-RA
primary_original,Teresa Bago d'Uva,,,,,,not_assessed,,,,1463-PHD
primary_original,Johannes Clouth,A5029021088,Johannes Clouth,0000-0001-8941-6739,Eli Lilly (Germany),Retired,not_assessed,,,A5004580198=Felix J. Clouth(4 eq),
primary_original,Rosalind de Charro,A5080909830,Frank de Charro,0000-0002-5280-5551,,,not_assessed,,,,
primary_binary_qa,Nan Luo,A5064398143,Nan Luo,0000-0001-7980-6979,National University of Singapore,National University of Singapore,hold,"Although the NUS affiliation and several EQ-5D valuation papers fit, the record has substantial unrelated contamination: synthetic-cell biology, biosensor immunoassay, navigation, and highly cited cancer-immunology papers. This is not a safely coherent single profile.",,,128-RA;1504-RA;1505-RA;1517-RA;1522-RA;1535-RA;1599-RA;1608-RA;1738-TVG;1741-RA;180-RA;1818-RA;188-RA;2012060;2014100;2015220;2015410;2016010;2016070;2016130;2016230;2016290;2016310;2016600;20170330;20170430;20170450;20170460;20170640;20180060;20180160;20180250;20180270;20180600;2019-EO;20190010;20190600;20190820;20190830;2120-RA;2176-RA;2222-EO;232-RA;2362-BT;2418-BT;2451-RA;2455-PHD;274-RA;320-VS;321-VS;364-RA;402-RA;439-PHD;69-RA;76-RA
primary_binary_qa;additional_profile_ids,Feng Xie,A5102994482,Feng Xie,0000-0003-3454-6266,Qingdao University,McMaster University,hold,"Although the profile includes McMaster health-economics coauthors and EQ-5D valuation work, it has substantial incompatible name-collision contamination: historical echocardiography plus numerous recent Chinese oncology, transplant, and clinical-trial records; reported affiliation is Qingdao University rather than McMaster.",A5015716999,A5015716999=Feng Xie(36 eq),137-RA;1587-TVG;1704-RA;1793-RA;2013050;2013180;2013230;2013270;2015120;2016-RA;2016060;2016080;2016540;20170100;20180310;20191110;2023-RA;2170-RA;2566-RA;2593-RA;342-RA;345-PHD
primary_binary_qa;additional_profile_ids,Zhihao Yang,A5028809099,Zhihao Yang,0000-0001-5468-0847,Guiyang Medical University,Guizhou Medical University,hold,"Although 71 works concern EQ-5D/EQ-HWB and the Guiyang Medical University affiliation matches, the profile has substantial collision contamination: 2010-14 civil/geotechnical and coal-reservoir papers plus 2026 molecular-property and marine-phytoplankton papers are unrelated to the EuroQol record.",A5051597671,A5051597671=Zhihao Yang(5 eq); A5103097710=Zhihao Yang(1 eq),1485-RA;1534-EO;1598-RA;1941-RA;20180070R1;20180230;20180610;20190150R1;20190151;20190370;20190900;20191020;215-2020RA;2180-RA;221-RA;2225-BT;2276-RA;2348-BT;353-RA;456-RA;75-EO;92-2020RA
additional_profile_ids,Nancy Devlin,A5103206776,Nancy Devlin,0000-0002-1561-5361,The University of Melbourne,University of Melbourne,accept,"Exact name and University of Melbourne affiliation; a strongly coherent health-economics and EQ-5D valuation record. Core works include the England EQ-5D-5L value set, EQ-5D and the EuroQol Group, EQ-5D-Y development, and current child valuation/EQ-TIPS studies.",A5108295899,A5029151069=Nancy Devlin(1 eq); A5108295899=Nancy Devlin(4 eq),1404-RA;1497-RA;2012050;2013040;2014020;2014170;2015060;2015100;2016320;2016570;2016571;2016630;2016631;20170010;20180210;20180650;20190220;202-RA;2274-TVG;370-RA;399-RA
additional_profile_ids,Fatima Al Sayah,A5026033494,Fatima Al Sayah,0000-0003-3891-5452,University of Alberta,"University of Alberta (Canada), Centre for Clinical, Health Economics, and Outcomes Research, CCHO (Lebanon, UAE, KSA)",accept,"Exact name and University of Alberta affiliation. The profile is coherently centered on health-related quality of life, PROMs, and EQ-5D, including UAE EQ-5D-5L valuation, EQ-DAPHNIE papers, Arabic-speaking populations, and EQ-5D-5L minimally important differences.",A5058978537,A5058978537=Fatima Hussein Al Sayah(6 eq); A5130247173=Fatima Al Sayah(1 eq),102-RA;1465-VS;1696-RA;1931-RA;1974-VS;1984-RA;20190050;2116-EOI;2413-RA;2487-TVG;2490-EO;2560-RA;96-EO
additional_profile_ids,Tessa Peasgood,A5022446221,Tessa Peasgood,0000-0001-8024-7801,University of Sheffield,University of Sheffield,accept,"The University of Sheffield affiliation and extensive health-utility record are consistent with the supplied projects: the profile includes EQ-HWB development, EQ-5D-5L measurement work, child/adolescent valuation, content-validity research, and core EuroQol coauthors.",A5137019908,A5137019908=Tessa Peasgood(4 eq); A5140631355=Tessa Peasgood(1 eq),1823-RA;1916-RA;20180350;20190260;2207-RA;224-RA;2366-EO;2470-RA;2488-TVG;2493-RA;282-RA;348-PHD
