name,openalex_id,decision,reason,chosen_name,orcid,affiliation,member_affiliation,total_works,project_ids
Aaron Winn,A5066367734,accept,"Aaron N. Winn at UIC has a coherent health-economics and quality-of-life record, including EQ-HWB/EQ-5D-related Value in Health abstracts; this is consistent with the EQ-5D-5L breathing bolt-on project.",Aaron N. Winn,0000-0003-2906-3913,University of Illinois Chicago,,177,2349-BT
Abdelghafour MARFAK,A5024805890,accept,"Exact name and a Moroccan health/quality-of-life record, including the EQ-TIPS HRQoL study in Moroccan children, align with the Moroccan EQ-5D-5L value-set project.",Abdelghafour Marfak,0000-0002-4212-8438,National School of Architecture,,79,1411-VS
Abdulmuminu Isah,A5024575926,accept,"Exact name, University of Nigeria affiliation, and a coherent Nigerian pharmacy/public-health record include HRQoL measurement in Africa and health-status research, consistent with the Nigerian youth QALY value-set project.",Abdulmuminu Isah,0000-0002-1349-6434,University of Nigeria,,103,2236-VS
Abdulrasheed Hassan Yusuf,A5138651068,accept,"The exact-name profile consists of the Nigeria EQ-5D-5L valuation study, with project-relevant valuation coauthors; it directly matches the Nigerian EQ-5D-5L value-set project.",Abdulrasheed Hassan Yusuf,,Mahidol University,,1,1731-VS
Abeer Al Rabayah,A5058964513,accept,"Exact name, King Hussein Cancer Center affiliation, and a health-economics/QoL record include the 2024 article 'Valuation of the EQ-5D-3L in Jordan,' directly matching the Jordanian EQ-5D-3L value-set project.",Abeer Al Rabayah,0000-0003-2952-9103,King Hussein Cancer Center,,28,60-VS
Abraham Gebregziabiher,A5061701004,accept,"Mekelle University affiliation matches. Ethiopian EQ-5D valuation and psychometric studies directly support the listed projects, with coherent health-economics and pharmacy work and EuroQol collaborators including Elly Stolk and Clara Mukuria.",Abraham Gebregziabiher Welie,0000-0003-4661-7287,Mekelle University,"1School of Pharmacy, College of Health Science, Mekelle University.",6,133-RA;1798-RA;20170480;20180500;20191010;2124-RA;225-RA;313-PHD;340-RA;89-RA
Ademola Itiola,A5093433205,accept,"The name matches exactly, and both works concern EQ-5D-5L data visualization for total knee arthroplasty. This is a coherent direct match for the listed PhD project on EQ-5D response shift in knee arthroplasty.",Ademola Itiola,,University of Alberta,,2,1753-PHD
Agota Szende,A5002095623,accept,"The accented name, extensive health-economics record, and direct EQ-5D population-health publications align strongly with both population norms/inequities projects. The profile includes core EuroQol coauthors Bas Janssen and Juan Manuel Ramos-Goni.",Ágota Szende,0000-0002-5880-3354,Genesis Research Trust,Covance Health Economics & Outcomes Services,113,2015470;20191120
Aki Tsuchiya,A5015417862,accept,"Name and University of Sheffield affiliation match. The large, coherent health-economics record directly covers EQ-5D valuation, value sets, QALYs, and inequality preferences, with established EuroQol collaborators including John Brazier, Nancy Devlin, and Clara Mukuria.",Aki Tsuchiya,0000-0003-4245-5399,University of Sheffield,University of Sheffield,272,2013170;2015180;20190840
Alex Bató,A5009546494,accept,"Semmelweis profile is a coherent health-outcomes record: repeated EQ-5D measurement/validation studies, Hungarian SF-36 and PROMIS norms, and QOL research with Rencz and Brodszky directly fit the EQ-HWB projects.",Alex Bató,0000-0002-1450-4790,Semmelweis University,,16,2260-RA;2441-RA
Alexander Arons,A5044999875,accept,"The record coherently supports a valuation-methods researcher: health-state valuation, QALY measurement, visual analogue scale recalibration, probabilistic choice models, and EQ-related quality-of-life work. The Krabbe coauthor cluster reinforces this fit.",Alexander M. M. Arons,,Novartis (Netherlands),,13,2013120;2013250;2013260;2014140;2016220
Andrea L. Monteiro,A5024494805,accept,"Her record directly supports health-state valuation: Brazilian EQ-5D-3L valuation, EQ-5D Brazilian norms, and multiple EQ-HWB development and psychometric studies, with recurrent EuroQol coauthors including Simon Pickard.",A Monteiro,0000-0001-9763-3485,Clinton College,,53,161-RA
Andrew Lenny,A5029564514,accept,"The record directly matches the Youth/Valuation project through a review of EQ-5D-Y and CHU-9D child/adolescent valuation methods, alongside health-utility research and recurring EuroQol health-economics coauthors Louise Longworth and Koonal Shah.",Andrew Lenny,0000-0002-9325-0062,People's History Museum,,10,239-RA
Andrew Lloyd,A5031114648,accept,"A large, coherent health-utility and EQ-5D portfolio—including EQ-5D-5L development, interim scoring, EQ-5D cancer utilities, and ISPOR utility-method reports—matches the Acaster Lloyd affiliation and all three EuroQol projects.",Andrew Lloyd,0000-0002-7597-6556,Lloyd's,Acaster Lloyd,235,1475-RA;1806-RA;20190510
Ann Charlotte Egmar,A5037683865,accept,"The hyphenated name matches, and her child respiratory-health record includes the EQ-5D-Y development, multinational feasibility/reliability/validity study, and EQ-5D-Y-5L revision, directly consistent with the asthma pilot project.",Ann‐Charlotte Egmar,0000-0003-2504-343X,Röda Korsets Högskola,,32,2013060
Anna Krabbe-Lugner,A5047866823,accept,"Anna K. Lugnér is a compatible name form, and the record includes a detailed 2020 review of time trade-off methods plus health-economic modelling; this directly supports the Revisit TTO valuation project.",Anna K. Lugnér,,,"Ministry of Infrastructure and Water Management, the Netherlands",36,2015010
