record_id	feedback
C50-P032	The planned sample targets are not completed samples. Use the governed planned-sample value if it is available; otherwise use a Gap and do not claim completion. Add the planned use of 13 unnamed EQ-5D bolt-on questions with the exact source label and no inferred identities.
C50-P045	Remove VALUATION_METHOD_EVALUATION as a purpose. Model comparison and selection are procedures for the stated value-set-development purpose; keep them as ModelUse records. Do not map the Taiwan traditional-Chinese EQ-5D-5L edition to the base instrument unless the reviewed registry supplies that exact child identity.
R129-P001	Do not use STUDIED_CONDITION for EQ-5D profiles, correction variants, or loss-aversion reference points. Keep profiles and reference points in TaskDesign. Use COMPARATOR only for retained analysed alternatives.
R129-P106	Keep StudyPart records flat and give each substantive part complete effective design axes. Remove IMPLEMENTATION_EVALUATION, the implementation-object use, and the implementation outcome because the study evaluates services with routine PROM data, not implementation. Add the 2,285-record source cohort, 107 excluded same-day records, and restriction from 14 service types to three with sufficient samples.
R129-P038	Set the StudyPart item's own part_id to null. Add attrition counts: 248 left before arm assignment, 1,742 failed the comprehension quiz, and 422 left during tasks or follow-up; 2,577 of 4,989 recruits entered the psychometric analysis.
R129-P018	Remove METHOD_OR_PROTOCOL_QUALITY as a purpose. The paper develops a checklist but does not apply it to evaluate a method or protocol. Add translatability and cultural context as an additional item-selection consideration, not as a twenty-third checklist criterion.
R129-P014	Give the harmonization part complete effective temporal, comparison, and allocation design axes. Remove rank-3 IMPLEMENTATION_EVALUATION: draft-content and task-feasibility testing is not implementation evaluation. Add the recruitment constraint: children with health conditions were difficult to recruit, and UK phase 2 used schoolchildren because separate NHS approval would delay recruitment.
CAL-B12	Add the two subthreshold communalities: 0.436 for having enough money to cover treatment and 0.380 for feeling financially stressed. Add the five-patient pilot and T1/T2 follow-up intervals of 5.8 and 11.6 weeks. Preserve the supported administration conflict.
R129-P129	Keep StudyParts flat. Change the isiXhosa translation target, translation protocol, forward/back translation, and cognitive interviews from SOURCE_STUDY_ACTIVITY to current-study contexts. Add secondary purpose TRANSLATION_AND_CULTURAL_ADAPTATION. Do not map the isiXhosa three-level EQ-TIPS edition to the base instrument unless the reviewed registry supplies that exact child identity.
R129-P127	Change the primary family to HEALTH_OUTCOME_RESEARCH. Make OUTCOME_DESCRIPTION purpose rank 1 and keep MEASUREMENT_PROPERTY_EVALUATION as secondary. The stated aim, most analyses, and conclusion concern caregiver HRQoL, burden, and determinants; EQ-5D discrimination is secondary.
R129-P064	Give every substantive StudyPart complete effective design axes. Parts 2 and 3 need a component approach. Part 1 needs exactly one effective temporal and allocation value. Preserve the source-supported scientific content.
C50-P049	Keep StudyPart records flat: each StudyPart item's own part_id must be null. Preserve the source-supported mixed-method content and all valid links to those parts.
CAL-B03	Do not map the experimental Australian proxy EQ-HWB-9 version 1 to the base EQ-HWB-S identity. Use an exact reviewed child identity if supplied; otherwise leave registry_id null. Preserve the source-supported scientific content.
