question_id	question_text	assignment
Q47	Which members co-authored with researcher X on funded outputs?	shared
Q54	What is the difference between a crosswalk and a native 5L value set — with key references?	shared
Q74	Which researchers newly entered the corpus in the last three years?	shared
Q57	Which methods appear most often in funded valuation projects (what should I learn)?	shared
Q44	Which working groups does researcher X's work span?	shared
Q81	What share of resolved researchers have an ORCID?	shared
Q22	How long after their previous grant did applicant X first publish from it?	shared
Q20	Which ongoing projects overlap with this proposal's aims?	shared
Q87	Which author profiles were merged, overridden, or skipped during identity resolution, and why?	shared
Q78	Which non-members co-author most frequently with members?	shared
Q62	Who works at institution X on EQ topics?	shared
Q11	Which countries' institutions have received the most EuroQol funding?	shared
Q51	What EQ-TIPS work exists so far?	shared
Q33	Which studies compare EQ-5D-5L and EQ-5D-3L value sets in the same population?	shared
Q77	How concentrated is output among PIs (share held by the top decile)?	shared
Q99	What share of member-authored corpus papers are excluded as pure applications?	shared
Q1	How many projects has EuroQol funded in total, and what is the combined approved budget?	shared
Q31	Who is currently working on EQ-HWB valuation?	shared
Q12	Which funded publication is the most cited, and which project produced it?	shared
Q59	Which open-access papers introduce EQ-HWB?	shared
Q58	What has been published on EQ-5D-Y-5L so far?	shared
Q18	Which past funded projects are topically most similar to this proposal abstract?	shared
Q7	What is the median time from project start to first linked publication?	shared
Q30	Which value sets used the EQ-VT protocol, and which version?	shared
Q80	Which projects' outputs cite other projects' outputs (inter-grant knowledge flow)?	shared
Q25	What share of student grants produced at least one publication?	A
Q66	Which student-grant projects led to publications, and what did they find?	A
Q82	Which papers carry metadata-quality flags (truncated author list, missing abstract)?	A
Q13	How has the topical mix of the portfolio shifted over time?	A
Q28	Given a proposal's reference list, which cited works are already in the corpus, and which are EuroQol-funded?	A
Q88	Which funded papers appeared in the highest-impact venues?	A
Q55	Which institutions host the most EuroQol-funded research?	A
Q43	Which value sets were produced *without* EuroQol funding?	A
Q86	What is the distribution of in-corpus citation lag (years between citing and cited paper)?	A
Q10	How does funding split across instrument families (EQ-5D-3L/5L, EQ-5D-Y, EQ-HWB, EQ-TIPS)?	A
Q32	Which publications came out of working group X's projects in the last five years?	A
Q9	Which projects completed three or more years ago still have no linked publication?	A
Q69	How has annual publication output of the included corpus evolved since 1990?	A
Q73	Has international co-authorship (countries per paper) increased over time?	A
Q65	In which journals do youth-instrument papers usually appear?	A
Q50	Which papers report both TTO and DCE data for the same value set?	A
Q76	Which publications are linked to more than one funded project?	A
Q4	How many projects are ongoing vs completed vs closed?	A
Q84	How many distinct researchers appear in the graph, and how many are members?	A
Q35	Which mapping/crosswalk studies link condition-specific instruments to EQ-5D?	A
Q79	What is the structure of the within-corpus citation network (components, hubs)?	A
Q89	Give a one-paragraph impact profile of project X: outputs, citations, collaborators.	A
Q94	Show the growth of the collaboration network decade by decade.	A
Q16	Has EuroQol funded an EQ-5D-5L valuation study in country X before?	A
Q24	Which valuation methods (TTO, DCE, hybrid) have funded projects in region Y used?	A
Q56	Which supervisors and institutions ran student grants?	B
Q70	What co-authorship communities exist among EuroQol members?	B
Q72	How do citations of researchers' EuroQol-funded papers compare with their other corpus papers?	B
Q64	Which are the most-cited systematic reviews in the corpus?	B
Q14	Which PIs hold the most grants, by count and by total budget?	B
Q34	What population norms have been published for EQ-5D-5L, by country?	B
Q67	What is a good starter reading list on health-state valuation for children?	B
Q83	How do papers-per-project compare across working groups?	B
Q93	Which first-time PIs published from their first grant?	B
Q39	Which conditions have bolt-on dimensions been developed or tested for?	B
Q95	Which projects studied under-represented populations (children, cognitive impairment)?	B
Q71	What is the open-access share of funded publications, and its trend?	B
Q68	What share of the EQ-5D methodological literature acknowledges EuroQol funding?	B
Q27	How productive were past projects in the same budget band as this proposal?	B
Q6	What proportion of completed projects have at least one linked publication?	B
Q41	Which publications introduced or validated the EQ-VT protocol?	B
Q21	Has applicant X co-authored with EuroQol members before, and with whom?	B
Q5	Which working group accounts for the most projects, and the most budget?	B
Q40	Which EQ-5D-5L valuation studies are ongoing right now?	B
Q36	Has proxy-vs-self-report agreement been studied for EQ-5D-Y?	B
Q3	What is the distribution of approved budgets (median, IQR, largest grants)?	B
Q90	Which projects produced value sets that later corpus works reference?	B
Q15	Which publications acknowledge EuroQol funding but cannot be tied to any project id?	B
Q53	What are the ten most-cited papers on EQ-5D valuation methodology?	B
Q100	Which papers entered the graph via full-text grant mining vs structured funder metadata?	B
Q38	Who are researcher X's most frequent co-authors within the corpus?	C
Q98	For DOI X: which project produced it, and what evidence supports that link?	C
Q23	Which completed projects promised a value set in their abstract but have no linked value-set publication?	C
Q49	Which studies examined test–retest reliability of EQ-5D-Y?	C
Q17	What did applicant X publish from their previous EuroQol grants?	C
Q29	Which countries have a published EQ-5D-5L value set?	C
Q8	Which five projects produced the most publications?	C
Q26	Which past projects share both this proposal's target condition and instrument?	C
Q91	Name five recent success stories: projects completed in the last three years with highly cited outputs.	C
Q96	List all corpus papers about bolt-ons, with a one-line summary each.	C
Q42	What work exists on DCE-with-duration hybrids?	C
Q63	Which countries still lack a native EQ-5D-5L value set?	C
Q46	Which corpus papers cite the 1997 UK MVH value-set paper?	C
Q85	Which OpenAlex topics/fields cite EuroQol-funded work the most?	C
Q19	Is a cognition bolt-on already covered by past or ongoing projects?	C
Q52	Which translations or language adaptations of EQ-HWB have been published?	C
Q92	Show the overall funnel: projects → projects with outputs → outputs → citations.	C
Q48	Which instruments does each ongoing project target?	C
Q2	How many projects were funded each year since 2012?	C
Q37	Which papers used DCE for valuation, and in which countries?	C
Q60	Which topics show growing publication activity in the last three years?	C
Q97	How many countries' researchers have participated in funded publications?	C
Q45	What sample sizes are typical for 5L valuation studies?	C
Q61	Give a timeline of instrument-development milestones as reflected in the corpus.	C
Q75	What fraction of accepted links fall in the −1..+8-year window around the project period?	C
