record_id	feedback
V2-P028	Keep the inclusion decision, EuroQol support assessment, publication form, one-Study unit, primary family, instruments, principal methods, and main results. Make these local changes: (1) change OUTCOME_DESCRIPTION to purpose rank 1 and CONTENT_VALIDITY_EVALUATION to rank 2, to match the stated order of the aims; (2) expand the quality-control extraction beyond the generic Guba and Lincoln MethodUse. Record the participant check of the categorization table, the applicability interview with one general-public nonparticipant, the researcher discussions used for neutrality, and the authors’ data-saturation judgment. Add a separable validation StudyPart, Sample of one completed nonparticipant, DataUse, and relevant QUALITATIVE_DATA_COLLECTION and QUALITY_CONTROL MethodUse records for the applicability interview; do not count this person in the 20 formal analysis participants; (3) add an EQ-VAS-specific Administration record with the source-reported current-day or “today’s health” frame; (4) add to Finding f7, or add a separate finding, that some participants found “today’s health” ambiguous or found it difficult to express health numerically. No change to the main scientific meaning is needed.
V2-P029	Add a study-level ProtocolUse for “Variations in patients’ overall assessment of their health across and within disease groups using the EQ-5D questionnaire: protocol for a longitudinal study in the Swedish National Quality Registers,” with context DIRECT_CURRENT_ACTIVITY and function GOVERNING_STUDY_PROTOCOL. Do not create a separate Study. For du2, change data level from PARTICIPANT_RESPONSE to NOT_REPORTED. The article identifies demographic data in NQR patient records but does not state that patients supplied these data. Keep its ROUTINE_SERVICE_COLLECTION origin. No other material changes are needed.
V2-P030	Keep the inclusion decision, EuroQol support, publication form, Study unit, primary family, and principal findings. Add DECISION_SUPPORT_DEVELOPMENT as the second-ranked purpose because the authors state that they developed the revised individualized decision aid as well as tested it. Remove iu6, the EQ-5D-5L HEALTH_STATE_DESCRIPTION use, and remove iu6 from td1, ad1, and c1. The current study did not administer EQ-5D-5L or use it to define valuation health states; iu5 and du3 already represent the historical EQ-5D-5L data as visualized decision-aid content. Replace mu6, which uses the nonspecific label “developers' guidelines,” with separate source-faithful scoring-method uses for the PDMS developer guidelines and the SUS developer guidelines; retain MAPPING_OR_DERIVATION and cite Methods > Data analysis plus references 24 and 27. Add a DIRECT_CURRENT_ACTIVITY InstrumentUse for the three investigator-developed open-ended questions about the summary report, with OUTCOME_MEASURE as its function, and link it to o4. Keep the existing o4 links because SUS had one open-ended question and the Acceptability Scale had two. Remove sam2 as a flow-stage Sample because “10 to 19 participants per optional open-ended question” is a range across different questions, not one exact completed-stage count. Preserve that range in du2 or f5.
V2-P031	Create a VALUE_SET Product for the Chinese EQ-5D-Y-3L value set, include the Yang et al. citation and DOI 10.1007/s40273-022-01216-9, and link sc1 and sc2 to it through product_id. Create a DATASET Product for the Mendeley Data output, preserving its exact title, version V1, and DOI 10.17632/zgdmpvkvz3.1. Change sam1 from ENROLLED to COMPLETED because 76 dyads completed the baseline survey. Change sam6 to 26 patients whose proxy-reported OHA improved; link it to pop1 and use patients as the unit. Change sf3 and sf4 from TARGET_STAGE to STUDIED_CONDITION because improvement status defines the responsiveness subsets and is not a stage or time point. Add to pop1 that atopic dermatitis and allergic rhinitis were not exclusion criteria.
V2-P032	Revise Population pop1 only. Remove “The Netherlands” from geographies because the article does not directly report the participants’ study geography; author affiliations and the discussion of Dutch valuation characteristics do not establish participant location. Also replace the inclusion_description: course credits were a participation reward, not a reported inclusion criterion. State that eligibility or inclusion criteria were not reported, and retain course-credit compensation as a participation or administration detail. No change is needed to inclusion, EuroQol support, the single Study, its METHODS_RESEARCH family, instruments, valuation methods, design, principal findings, limitations, or the two recorded source conflicts.
V2-P033	Retain one Study, HEALTH_PREFERENCE_RESEARCH, PREFERENCE_COMPARISON as the primary purpose, the inclusion decision, direct EQ connection, explicit EuroQol support, statuses, publication form, and null publication relation. Add flat StudyParts that separate the pooled-wave analyses from the wave-2-only analyses. Move the samples, DataUses, factors, methods, models, findings, and limitations to their applicable parts. The health, quality-of-life, shopping, exercise, and key-worker variables are wave-2-only; regional dashboard values vary by wave; the pooled risk/worry analyses use both waves. Add HEALTH_STATE_VALUATION as a secondary purpose because the study directly elicited preferences. Link all Sample records to pop1. Preserve 3021 as submitted survey responses, explicitly record the 809 wave-1-only people, 826 wave-2-only people, and 693 people who responded in both waves, and distinguish people from responses. Reclassify sa4 from COMPLETED to the applicable analyzed/descriptive stage because 1318 is the wave-2 analysis-sample count, not a reported completion-flow stage. Do not infer why the wave-2 regression count decreases to 1294. Correct td1: 11111 and 55555 are EQ-5D-5L profiles; dead is a separate reference target, not an EQ-5D attribute or level; 100 and 0 are VAS anchors, not profile levels. Scope the valuation Administration to the VAS task. Do not apply its preference perspective to iu3. Represent respondents’ own EQ-5D-5L health description as CURRENT_HEALTH_MEASUREMENT and also as PREDICTOR_MEASURE where used as a control. Add the separately reported EQ VAS current-health use from Results Table 1. Part-scope MNPS, gradient-boosted propensity-score estimation, and weighted linear regression to the matched analyses. Keep f4 limited explicitly to the Tobit models. Add the principal matched finding that respondents reporting a positive quality-of-life effect rated 11111 4.09 VAS points lower than those reporting no effect (SE 1.91; significant at 5%). Add the reported limitation that MNPS balance for COVID-19’s effect on health remained poor after matching (mean standardized effect size 1.088), largely because few respondents reported a positive health effect. Retain sc1 as the source conflict between the abstract’s “respondents” wording and the Results section’s response-based count.
V2-P034	Correct Finding f3. Limit the uniform child-higher result to uncorrected utilities: child-perspective means were higher for all four states at both durations, but none of the eight paired comparisons was significant (all p>0.07). For corrected utilities, state only that all adult–child comparisons were nonsignificant (all p>0.30); remove “child means generally higher.” Table 4 shows no uniform corrected direction: at 10 years, displayed child means are higher for 22222 and 32111 and equal for 32223 and 23232; at 20 years, they are higher only for 32111 and lower for the other three states. Add a SourceConflict between the Results narrative claiming child-perspective means were higher for all four states at both durations and these corrected values in Table 4. Keep f4 and f6 as the principal corrected analyses because they correctly report that correction reduced the gap and removed the adjusted perspective effect. Delete StudyFactor sf3: the four EQ-5D-Y-3L health states are task profiles, which td1 already represents, not a StudyFactor. Remove sf3 from f3, f4, and f5 and link those findings to td1 where needed. Delete mu9 unless a separately reported randomization method can be identified; the source reports only randomized task and block order, which belongs in td1 and td2. Add the omitted training profiles to td1: the wheelchair warm-up and practice states 21112 and 32323, with the Appendix—Warmup section as evidence. Add a SourceConflict for the exact familiarization-instrument label: Experiment—Interview procedure reports EQ-5D-Y-3L, while Appendix—Introduction says “EQ-5D-3L-Y.” Retain EQ-5D-Y-3L as the main-method identity but do not silently normalize the appendix wording. Add a DATASET Product for the study data and record only the source-supported availability statement, “available from the authors upon reasonable request”; do not invent a controlled availability or deployment state.
V2-P035	Add a study-wide MethodUse for translation of the Chinese EQ-5D-Y-3L and experimental EQ-TIPS with function INSTRUMENT_TRANSLATION_OR_ADAPTATION, plus a ProtocolUse for the EuroQol Group guidelines with function TRANSLATION_PROTOCOL. Add a ProtocolUse for “Diagnosis and Treatment Protocol for COVID-19 Infection (Trial Version 10)” and state that it defined COVID-19 severity and clinical recovery; attach the protocol-function gap described below. Correct adm2: the source gives the modified baseline proxy instruction (“In comparison to the situation before the outbreak of the pandemic…”) without an exception for healthy controls, so do not assign controls an unsupported standard “Health today” instruction. Correct adm5 and adm8 to children aged 6–18 years. Add a SourceConflict that preserves the isolated “over six years” wording in Procedures against the objective, eligibility criteria, and Tables 2–4, which state 6–18 years or ≥6 years. Link sam5 to COVID-19 child-parent dyads, because follow-up occurred during outpatient follow-up or discharge after illness; do not link the 311 follow-up completers to a population that also permits non-infected controls. Correct f3 by separating the agreement estimates and their denominators: for 445 COVID-19 dyads, Gwet’s AC1 was 0.470–0.687, ICC was 0.657 for the index and 0.815 for EQ VAS; for all 559 dyads, Gwet’s AC1 was 0.529–0.738, and ICC was 0.653 for the index and 0.823 for EQ VAS. The current 0.470–0.738 range cannot have 559 as one denominator.
V2-P036	Make these local corrections. (1) Replace DataUse du1 with separate data uses. Record the literature, published conceptual model, and condition-specific measure content as DOCUMENTARY_SOURCE at DOCUMENT level. Record the current expert-panel and patient input as CURRENT_STUDY_COLLECTION at QUALITATIVE_MATERIAL level. Link both uses to part1. (2) Add a SourceConflict for item maturity. The Methods state that the wording of both new bolt-ons was finalized, but the Discussion states that determination of final wording was outside the study scope. Link the conflict to prod1, prod2, ps1, ps2, and l5. Keep both source statements. (3) Add a SourceConflict for the symptom-group counts. Table 1 reports 91 patients with no symptoms in the previous week, which implies 221 with symptoms. Table 5 reports 90 without symptoms and 222 with at least one symptom. Do not select one count as correct. (4) Correct the structured metadata: add the funding statements and awards reported in the Funding section, and add the five stated keywords: Coeliac disease, EQ-5D, Bolt-ons, Health-related quality of life, and Psychometric properties. No change is needed to the inclusion decision, EuroQol-support assessment, Study unit, primary family, instruments, principal methods, or principal findings.
V2-P037	Change InstrumentUse iu4 source_label from “PedsQL core generic version 4.0” to the exact administered variant: “Paediatric Quality of Life Inventory™ core generic version 4.0 for toddlers aged 2–4 years (PedsQL)”. Ensure that iu2 and iu4 resolve to the same reviewed registry identity for this toddler proxy-report variant. Keep their separate contexts and functions. No other material repair is necessary.
