name,openalex_id,decision,reason,chosen_name,orcid,affiliation,member_affiliation,total_works,project_ids
Akanksha Akanksha,A5101596594,hold,"The profile is substantially mixed: alongside two relevant EQ-HWB/QALY works, it contains extensive unrelated chemistry, medicinal-plant, engineering, coal, and glaciology publications. This is substantial name-collision contamination and cannot safely identify the EuroQol researcher.",Akanksha Akanksha,,University of Technology Sydney,,135,1799-RA;2511-RA
Alexander Geissler,A5089010455,hold,"Although the health-policy/hospital-payment papers could fit PROM dashboards, the profile is substantially mixed: a large neuroimaging/MRI coauthor cluster plus unrelated works from 1959 and 1965–68 are incompatible with one coherent researcher record.",Alexander Geißler,0000-0002-7445-2929,University of St.Gallen,,232,301-SG
Alexander van Heusden,A5070658848,hold,"Recent adapted EQ-5D-Y papers fit the project, but the profile has substantial conflicting material: its dominant cardiac-arrest/cardiogenetics cluster has a separate dense coauthor network, alongside unrelated 1963 and 2007 obstetric works. Safe attribution is not possible.",Alexander van Heusden,0009-0007-8055-5450,Murdoch Children's Research Institute,,37,1739-EO
Alice Yu,A5055148154,hold,"This is a Chang Gung University molecular-oncology profile dominated by neuroblastoma, anti-GD2 immunotherapy, glycosylation, and leukemia research. It is incompatible with the CHERE member's EQ-5D valuation, DCE, and EQ-HWB project record.",Alice L. Yu,0000-0003-2444-0505,Chang Gung University,Centre for Health Economics and Research Evaluation (CHERE),492,1888-RA;1890-RA;20180150;2335-RA;2584-RA
Antony Martin,A5070568819,hold,"Although the profile includes health-economics and haemophilia work, it shows substantial apparent name-collision contamination: a 1975 Zambia book, a 2007 network-mobility authentication paper, tomato heat-tolerance research, and nanoparticle imaging papers. The mixed record is unsafe to attribute.",Antony P. Martin,0000-0003-4383-6038,,,125,319-RA
Ataru Igarashi,A5071771037,hold,"Although the name, University of Tokyo affiliation, and Japanese EQ-5D value-set work fit, the profile includes clearly discordant 1969 respiratory anthropology, 1981 dental folklore, and 1984-85 gynecology infection records. This substantial cross-era, cross-field contamination makes safe attribution uncertain.",Ataru Igarashi,0000-0001-6307-6916,University of Tokyo Health Sciences,The University of Tokyo,371,
Bas Janssen,A5020933378,hold,"The profile is for Mathieu F. Janssen, not Bas Janssen. Although its extensive EQ-5D research fits the project evidence, the incompatible given name prevents safe attribution.",Mathieu F. Janssen,0000-0001-6602-6949,Erasmus MC,,117,155-RA;157-RA;2012040;2015450;2016620;20170600;240-RA;2594-RA;458-RA;461-RA
David Mott,A5009132187,hold,"Although the recent health-economics and EQ-5D-Y work matches the projects, the profile also contains a distinct 1983–98 CT imaging and radiotherapy publication record. That unrelated body of work is substantial name-collision contamination.",David Mott,0000-0001-5959-8447,University of Wisconsin–Madison,Office of Health Economics,63,104-RA;432-RA
David Parkin,A5081956728,hold,"The EQ-5D and health-economics record with Nancy Devlin matches the project, but the profile also contains a substantial unrelated 1959–67 cosmic-dust/planetary-science record and unrelated communication/culture chapters. It is materially name-collision contaminated.",David Parkin,0000-0002-9990-8208,,,221,20170440
Edward Webb,A5011344482,hold,"Although the Leeds affiliation and some EQ-5D valuation work fit, the 60-work profile is materially mixed: it includes Classical Review publications from 1897–99, a 1958 forecasting dissertation, and a 2011 Turkish national-history paper, clear name-collision contamination.",Edward Webb,0000-0001-7918-839X,University of Leeds,University of Leeds,61,2316-RA;289-RA
Eri Hoshino,A5068533812,hold,"Although the record includes recent preference-measure and caregiver quality-of-life work, it contains substantial incompatible material spanning inorganic air-sample chemistry, veterinary VDR pharmacology, renal biology, salivary-gland oncology, and cardiothoracic surgery. This supports name-collision contamination, so it is unsafe to assign to the EQ-5D-Y valuation researcher.",Eri Hoshino,0000-0003-2308-2048,National Center For Child Health and Development,,77,2085-VS
Fan Yang,A5056976700,hold,"Although part of the record fits EQ-5D and renal quality-of-life research, it contains substantial incompatible contamination: 2025 works span memristor logic, lung-imaging AI, spine injury, esophageal case report, Kawasaki disease, and pelvic ultrasound. This is not a safely coherent single profile.",Fan Yang,0000-0003-4689-265X,,Analysis Group,,
Feng Xie,A5102994482,hold,"Although the profile includes McMaster health-economics coauthors and EQ-5D valuation work, it has substantial incompatible name-collision contamination: historical echocardiography plus numerous recent Chinese oncology, transplant, and clinical-trial records; reported affiliation is Qingdao University rather than McMaster.",Feng Xie,0000-0003-3454-6266,Qingdao University,McMaster University,385,137-RA;1587-TVG;1704-RA;1793-RA;2013050;2013180;2013230;2013270;2015120;2016-RA;2016060;2016080;2016540;20170100;20180310;20191110;2023-RA;2170-RA;2566-RA;2593-RA;342-RA;345-PHD
