record_id	feedback
CNF-P002	The article explicitly reports two separate studies. Replace the combined Study with one Study record for Study 1 and one for Study 2. Scope the unconscious cultural-worldview-defense measure and its results to Study 1. Scope the conscious emotional-lability measure, Study-2-only DTA analyses, and moderation result to Study 2. Preserve pooled results without implying that they came from only one study: repeat a pooled Finding under both studies with an explicit pooled-both-studies statement, and add an UNMODELED_ASPECT Gap for the missing multi-Study finding relation. Give each Study its own required parts, purposes, designs, and findings.
CNF-P004	Change iu1.source_label to the exact source-supported label "Amharic version of EQ-5D-5L". Preserve the source conflicts and all other supported content.
CNF-P006	Fix td1, which lacks its required part_id. Create or use one StudyPart for exposure to the revised decision aid and link td1 to it. Keep StudyParts flat, and preserve the funded application-only inclusion decision, EQ-5D-5L input, results, product state, and limitations.
CNF-P009	Complete the source-study valuation-method inventory with separate exact MethodUse records. Include person trade-off (PTO), cTTO, lead-time TTO, DCE-with-duration, and LOD anchoring where Table 3 distinguishes them. Do not collapse the named variants into generic TTO or DCE. Preserve the review methods, main synthesis, dimension ranking, and limitations.
CNF-P010	Add the planned adult EQ-5D-5L InstrumentUse and Administration for children aged 12 years or older. Keep it separate from caregiver EQ-5D-5L use. Fix lim4.about: do not reference a Study ID; link it only to applicable item IDs or use an empty list. Preserve the source conflict about the planned child sample.
CNF-P011	Set the study allocation_structure to NOT_APPLICABLE. The source randomizes which two of four instruments each resident completes; preserve this as task-order or task-assignment randomization in TaskDesign, not study allocation. Preserve all supported face-validity content.
CNF-P012	Remove mu7 because the Level Sum Score is a scoring rule and is already represented by su1 ScoringUse. Preserve su1 and all supported inequality analyses, results, sample flow, and source conflicts.
CNF-P013	Remove sam5. The 30,576-person APERSU value is a published aggregate comparator, not INCLUDED_EVIDENCE in an evidence synthesis. Keep the comparator Population and aggregate prior-research DataUse. Add the source flow facts: 2,199 EOPCN patient records were available, and 25 same-day pre/post records were excluded from repeated-measure analysis. Link the exclusion to the repeated analysis.
CNF-P014	Fix a1 and a2. Administration.applies_to can reference only InstrumentUse, MethodUse, or ProtocolUse. Do not reference su1 or su2 ScoringUse items. Link each administration to the applicable instrument-use item or items and preserve all supported scientific content.
CNF-P015	Remove pu1 or set it to a discussion/reference context. This study did not use TTO or preferences for dying immediately from the EQ-VT protocol. Keep the original Dutch EQ-VT values only as comparator input. Preserve the 385 completed, five excluded, and 380 analyzed counts and the PC/BWS methods and findings.
CNF-P016	The source compares frequency and severity response-scale formats, not methods. Replace d3 BETWEEN_METHOD with UNMAPPED_VALUE and add an UNMAPPED_VALUE Gap for response-scale-format comparison; do not create a new controlled value. Remove mu1 through mu4 from td1.applies_to because they are analysis methods, not administered task components. Keep applicable InstrumentUse links. Add source-context QUALITY_CONTROL MethodUse records for attention checks and minimum completion-time thresholds. Fix lim1.about and lim3.about: do not reference a Study ID; link only to applicable item IDs or use empty lists. Preserve all supported findings and limitations.
